Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,7227,0,0,0,102,272,7601
6,7313,0,0,0,102,272,7687
7,9694,0,0,0,102,273,10069
8,9819,0,0,0,102,275,10196
9,9841,0,0,0,102,285,10228
10,10287,0,0,0,102,340,10729
11,12055,0,0,0,102,210,12367
12,12465,0,0,0,102,201,12768
13,12862,0,0,0,107,204,13173
14,12773,0,0,0,107,230,13110
15,12408,0,0,0,107,78,12593
17,13652,0,0,0,107,76,13835
18,13925,0,0,0,110,80,14115
19,14127,0,0,0,110,95,14332
20,15300,0,0,0,110,99,15509
21,14117,0,0,0,110,99,14326
22,7988,0,0,0,110,99,8197
23,6815,0,0,0,110,99,7024
24,6877,0,0,0,110,99,7086
25,6256,0,0,0,110,99,6465
26,6362,0,0,0,110,111,6583
27,6458,0,0,0,110,111,6679
28,6709,0,0,0,110,111,6930
29,6735,0,0,0,108,119,6962
30,6744,0,0,0,108,119,6971
31,6789,0,0,0,108,120,7017
32,16908,0,0,0,108,120,17136
33,17123,0,0,0,108,120,17351
34,17236,0,0,0,108,126,17470
35,18110,0,0,0,108,126,18344
36,18592,0,0,0,108,129,18829
37,18171,0,0,0,108,130,18409
38,18173,0,0,0,108,130,18411
39,18734,0,0,0,108,103,18945
40,18528,0,0,0,113,103,18744
41,18961,0,0,0,113,104,19178
42,19698,0,0,0,115,105,19918
43,20034,0,0,0,115,142,20291
44,20292,0,0,0,115,142,20549
45,21194,0,0,0,217,173,21584
