Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,126,0,0,0,0,12,138
6,134,0,0,0,0,12,146
7,134,0,0,0,6,12,152
8,134,0,0,0,6,12,152
9,134,0,0,0,6,12,152
10,124,0,0,0,6,12,142
11,124,0,0,0,66,15,205
12,154,0,0,0,70,15,239
13,154,0,0,0,64,15,233
14,179,0,0,0,64,20,263
15,180,0,0,0,75,20,275
17,180,0,0,0,75,25,280
18,182,0,0,0,75,25,282
19,184,0,0,0,75,25,284
20,184,0,0,0,75,25,284
21,184,0,0,0,75,25,284
22,184,0,0,0,75,25,284
23,194,0,0,0,75,26,295
24,194,0,0,0,75,26,295
25,194,0,0,0,75,26,295
26,194,0,0,0,76,26,296
27,194,0,0,0,76,26,296
28,194,0,0,0,76,26,296
29,194,0,0,0,76,26,296
30,194,0,0,0,76,26,296
31,194,0,0,0,76,26,296
32,194,0,0,0,76,26,296
33,195,0,0,0,76,26,297
34,195,0,0,0,76,26,297
35,195,0,0,0,76,26,297
36,195,0,0,0,76,26,297
37,231,0,0,0,76,26,333
38,231,0,0,0,76,26,333
39,249,0,0,0,76,26,351
40,242,0,0,0,76,26,344
41,242,0,0,0,76,26,344
42,245,0,0,0,76,26,347
43,245,0,0,0,76,26,347
44,245,0,0,0,76,26,347
45,245,0,0,0,76,26,347
46,245,0,0,0,76,26,347
47,245,0,0,0,76,26,347
48,245,0,0,0,76,26,347
49,245,0,0,0,76,26,347
50,245,0,0,0,76,26,347
51,245,0,0,0,76,26,347
52,245,0,0,0,76,26,347
53,245,0,0,0,76,26,347
54,245,0,0,0,76,26,347
55,245,0,0,0,76,26,347
56,252,0,0,0,76,26,354
57,252,0,0,0,76,26,354
58,255,0,0,0,79,26,360
