Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
40,386,0,0,0,11,29,426
41,387,0,0,0,11,30,428
42,387,0,0,0,11,30,428
43,387,0,0,0,11,30,428
44,387,0,0,0,11,30,428
45,387,0,0,0,11,30,428
46,387,0,0,0,11,30,428
47,387,0,0,0,11,30,428
48,387,0,0,0,11,30,428
49,387,0,0,0,11,30,428
50,387,0,0,0,11,30,428
51,387,0,0,0,11,30,428
52,393,0,0,0,11,30,434
53,393,0,0,0,11,30,434
54,409,0,0,0,11,30,450
55,423,0,0,0,11,30,464
56,488,0,0,0,11,30,529
57,489,0,0,0,11,30,530
58,489,0,0,0,11,30,530
