Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,3894,0,0,0,26,21,0,0,854,33,4828
6,3895,0,0,0,26,21,0,0,853,33,4828
7,3896,0,0,0,26,21,0,0,856,33,4832
8,3917,0,0,0,26,21,0,0,861,33,4858
9,3932,0,0,0,26,21,0,0,861,33,4873
10,3968,0,0,0,26,19,0,0,869,33,4915
11,4103,0,0,0,26,19,0,0,869,53,5070
12,4393,0,0,0,26,19,0,0,903,53,5394
13,4419,0,0,0,26,19,0,0,903,53,5420
14,4536,0,0,0,26,19,0,0,980,53,5614
15,4614,0,0,0,26,19,0,0,994,53,5706
17,4742,0,0,0,26,19,0,0,1000,53,5840
18,4994,0,0,0,16,26,0,0,1091,13,6140
19,5038,0,0,0,16,26,0,0,1091,13,6184
20,5160,0,0,0,16,26,0,0,1121,13,6336
21,5181,0,0,0,16,26,0,0,1121,13,6357
22,5488,0,0,0,16,25,0,0,1121,13,6663
23,5571,0,0,0,16,25,0,0,1159,13,6784
24,5637,0,0,0,16,25,0,0,1158,13,6849
25,5812,0,0,0,16,25,0,0,1188,13,7054
26,5964,0,0,0,16,25,0,0,1188,13,7206
27,6086,0,0,0,16,25,0,0,1270,13,7410
28,6146,0,0,0,24,25,0,0,1270,13,7478
29,5658,0,0,0,24,59,0,0,1349,13,7103
30,5673,0,0,0,24,59,0,0,1351,13,7120
31,5719,0,0,0,24,59,0,0,1351,13,7166
32,5739,0,0,0,24,59,0,0,1351,13,7186
33,5747,0,0,0,24,59,0,0,1354,13,7197
34,5940,0,0,0,24,59,0,0,1489,13,7525
35,6186,0,0,0,24,63,0,0,1544,13,7830
36,6450,0,0,0,24,63,0,0,1620,13,8170
37,6461,0,0,0,24,63,0,0,1620,13,8181
38,6555,0,0,0,24,65,0,0,1652,13,8309
39,6587,0,0,0,24,65,0,0,1652,13,8341
40,6587,0,0,0,24,65,0,0,1652,13,8341
41,6604,0,0,0,24,65,0,0,1652,13,8358
42,6178,0,0,0,24,2082,0,0,1690,13,9987
43,6179,0,0,0,24,2298,0,0,1675,13,10189
44,6234,0,0,0,24,260,0,0,1495,13,8026
45,6555,0,0,0,24,270,0,0,1655,13,8517
46,6959,0,0,0,24,270,0,0,1672,13,8938
47,6974,0,0,0,21,279,0,0,1685,13,8972
48,7048,0,0,0,21,275,0,0,1685,13,9042
49,7049,0,0,0,21,282,0,0,1707,13,9072
50,6934,0,0,0,21,284,0,0,1707,13,8959
51,6931,0,0,0,21,284,0,0,1707,13,8956
