Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
43,21,0,0,0,0,34,0,0,0,41,96
44,22,0,0,0,0,35,0,0,0,41,98
45,21,0,0,0,0,36,0,0,0,42,99
46,21,0,0,0,0,36,0,0,0,42,99
47,21,0,0,0,0,36,0,0,0,42,99
48,21,0,0,0,0,36,0,0,0,42,99
49,21,0,0,0,0,36,0,0,0,42,99
50,21,0,0,0,0,36,0,0,0,42,99
51,21,0,0,0,0,36,0,0,0,42,99
52,21,0,0,0,0,36,0,0,0,42,99
53,20,0,0,0,0,28,0,0,0,42,90
54,20,0,0,0,0,28,0,0,0,42,90
55,18,0,0,0,0,28,0,0,0,42,88
56,18,0,0,0,0,41,0,0,0,42,101
57,18,0,0,0,0,41,0,0,0,42,101
58,18,0,0,0,0,53,0,0,0,70,141
59,18,0,0,0,0,19,0,0,0,70,107
