Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,0,0,127,1480,0,1524,0,0,0,0,3131
6,0,0,127,1503,0,1598,0,0,0,0,3228
7,0,0,127,1449,0,1721,0,0,0,0,3297
8,0,0,127,1443,0,1728,0,0,0,0,3298
9,0,0,127,1474,0,1780,0,0,0,0,3381
10,0,0,130,1517,0,1866,0,0,0,0,3513
11,0,0,130,1543,0,1921,0,0,0,0,3594
12,0,0,168,1579,0,1996,0,0,0,0,3743
13,0,0,168,1569,0,1983,0,0,0,0,3720
14,0,0,168,1581,0,2203,0,0,0,0,3952
15,0,0,168,1603,0,2316,0,0,0,0,4087
17,0,0,168,1623,0,2420,0,0,0,0,4211
18,0,0,172,1739,0,2573,0,0,0,0,4484
19,0,0,172,1748,0,2583,0,0,0,0,4503
20,0,0,172,1769,0,2623,0,0,0,0,4564
21,0,0,172,1782,0,2627,0,0,0,0,4581
22,0,0,172,1832,0,2652,0,0,0,0,4656
23,0,0,172,1857,0,2686,0,0,0,0,4715
24,0,0,174,1869,0,2673,0,0,0,0,4716
25,0,0,174,1873,0,2673,0,0,0,0,4720
26,0,0,174,1896,0,2674,0,0,0,0,4744
27,0,0,174,1939,0,2717,0,0,0,0,4830
28,0,0,286,1974,0,2768,0,0,0,0,5028
29,0,0,282,1990,0,2819,0,0,0,0,5091
30,0,0,282,2007,0,2836,0,0,0,0,5125
31,0,0,284,2056,0,2957,0,0,0,0,5297
32,0,0,383,2066,0,2963,0,0,0,0,5412
33,0,0,377,2083,0,2993,0,0,0,0,5453
34,0,0,374,2076,0,3010,0,0,0,0,5460
35,0,0,376,2083,0,3027,0,0,0,0,5486
36,0,0,372,2108,0,3080,0,0,0,0,5560
37,0,0,370,2130,0,3105,0,0,0,0,5605
38,0,0,357,2144,0,3159,0,0,0,0,5660
39,0,0,353,2163,0,3206,0,0,0,0,5722
40,0,0,353,2158,0,3166,0,0,0,0,5677
41,0,0,0,2217,0,3157,0,0,0,0,5374
42,0,0,0,2509,0,3291,0,0,0,0,5800
43,0,0,0,2560,0,3433,0,0,0,0,5993
44,0,0,0,2490,0,3454,0,0,0,0,5944
45,0,0,0,2505,0,3541,0,0,0,0,6046
46,0,0,0,2519,0,3548,0,0,0,0,6067
47,0,0,0,2580,0,3630,0,0,0,0,6210
48,0,0,0,2627,0,3636,0,0,0,0,6263
49,0,0,0,2679,0,3749,0,0,0,0,6428
50,0,0,0,2756,0,3910,0,0,0,0,6666
51,0,0,0,2760,0,3873,0,0,0,0,6633
52,0,0,0,2836,0,4119,0,0,0,0,6955
53,0,0,0,2843,0,4125,0,0,0,0,6968
54,0,0,0,2706,0,4032,0,0,0,0,6738
55,0,0,0,2493,0,3806,0,0,0,0,6299
56,0,0,0,2666,0,4195,0,0,0,0,6861
57,0,0,0,2815,0,4272,0,0,0,0,7087
58,0,0,0,2601,0,4256,0,0,0,0,6857
59,0,0,0,2615,0,4349,0,0,0,0,6964
60,0,0,0,2529,0,4375,18,0,0,0,6922
61,0,0,0,2703,0,4426,12,0,0,0,7141
62,0,0,12,2741,0,4516,10,0,0,0,7279
63,0,0,12,2817,0,4534,10,0,0,0,7373
64,0,0,0,2991,0,4780,15,0,0,0,7786
65,0,0,0,3028,0,4882,15,0,0,0,7925
