Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
11,0,5810,349,0,0,1431,0,121,0,10,7721
12,0,6066,349,0,0,1438,0,208,0,10,8071
13,0,6246,352,0,0,1450,0,208,0,10,8266
14,0,6321,353,0,0,1450,0,208,0,10,8342
15,0,6555,353,0,0,1452,0,121,0,10,8491
17,0,7501,350,0,0,1484,0,208,0,10,9553
18,15,8014,353,0,0,1476,0,122,0,10,9990
19,15,8304,363,0,0,1537,0,122,0,11,10352
20,14,9060,382,0,0,1569,0,122,0,11,11158
21,14,9012,382,0,0,1574,0,122,0,11,11115
22,14,9398,406,0,0,1825,0,123,0,10,11776
23,14,9448,422,0,0,1827,0,123,0,10,11844
24,14,9889,422,0,0,1827,0,123,0,10,12285
25,14,9996,413,0,0,1827,0,123,0,10,12383
26,33,10038,413,0,0,1830,0,123,0,10,12447
27,122,10364,537,0,0,2016,0,3,0,10,13052
28,171,10875,543,0,0,2012,0,3,0,10,13614
29,249,11308,554,0,0,2012,0,3,0,8,14134
30,259,11556,554,0,0,2012,0,3,0,8,14392
31,259,11344,551,0,0,2020,0,3,0,2,14179
32,269,11163,443,0,0,1853,0,3,0,0,13731
33,269,11470,443,0,0,1853,0,3,0,0,14038
34,269,11565,440,0,0,1854,0,3,0,0,14131
35,269,11613,440,0,0,1854,0,3,0,0,14179
36,269,11824,440,0,0,1854,0,3,0,0,14390
37,269,12069,440,0,0,1852,0,3,0,0,14633
38,269,12135,441,0,0,1884,0,3,0,0,14732
39,261,11898,448,0,0,1928,0,3,0,0,14538
40,269,11792,448,0,0,1970,0,3,0,0,14482
41,260,14007,448,0,0,1933,0,3,0,0,16651
42,270,14223,425,0,0,1976,0,3,0,0,16897
43,274,14370,428,0,0,1976,0,3,0,0,17051
44,266,14280,438,0,0,1942,0,3,0,0,16929
45,291,14312,441,0,0,1932,0,5,0,0,16981
46,291,14676,470,0,0,1946,0,5,0,0,17388
47,291,14436,470,0,0,1942,0,5,0,0,17144
48,291,14783,470,0,0,1948,0,5,0,0,17497
49,291,14561,470,0,0,1944,0,5,0,0,17271
50,291,14886,471,0,0,1945,0,5,0,0,17598
51,291,14987,472,0,0,1946,0,5,0,0,17701
52,291,15317,468,0,0,1955,0,5,0,0,18036
53,291,15371,470,0,0,1955,0,5,0,0,18092
54,291,15285,470,0,0,1949,0,233,0,0,18228
55,239,14319,438,0,0,1859,0,233,0,0,17088
56,239,14904,518,0,0,1974,0,234,0,0,17869
57,239,12899,523,0,0,1972,0,236,0,0,15869
58,281,13215,481,0,0,2066,0,238,0,0,16281
59,287,13652,513,0,0,2011,0,238,0,0,16701
60,279,13761,612,0,0,2112,0,241,0,0,17005
61,279,13102,633,0,0,2144,0,242,0,0,16400
62,265,14594,521,0,0,1264,0,242,0,0,16886
63,265,14949,531,0,0,1462,0,242,0,0,17449
64,265,14398,543,0,0,1426,0,242,0,0,16874
65,265,14593,531,0,0,1389,0,242,0,0,17020
