Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
26,0,0,82,0,0,172,0,0,0,0,254
27,0,0,103,0,0,193,0,0,0,0,296
28,0,0,109,0,0,283,0,0,0,0,392
29,0,0,146,0,0,294,0,0,0,0,440
30,0,0,140,0,0,297,0,0,0,0,437
31,0,0,158,0,0,305,0,0,0,0,463
32,0,0,487,0,0,332,0,0,0,0,819
33,0,0,487,0,0,332,0,0,0,0,819
34,0,0,493,0,0,347,0,0,0,0,840
35,0,0,485,0,0,347,0,0,0,0,832
36,0,0,482,0,0,354,0,0,0,0,836
37,0,0,486,0,0,358,0,0,0,0,844
38,0,0,535,0,0,413,0,0,0,0,948
39,0,0,912,0,0,521,0,0,0,0,1433
40,0,0,920,0,0,567,0,0,0,0,1487
41,0,0,922,0,0,582,0,0,0,0,1504
42,0,0,922,0,0,583,4,0,0,0,1509
43,0,0,909,0,0,592,4,0,0,0,1505
44,0,0,854,0,0,528,4,0,0,0,1386
45,0,0,842,0,0,475,4,0,0,0,1321
46,0,0,845,0,0,485,4,0,0,0,1334
47,0,0,860,0,0,492,4,0,0,0,1356
48,0,0,856,0,0,499,4,0,0,0,1359
49,0,0,859,0,0,510,4,0,0,0,1373
50,0,0,865,0,0,528,4,0,0,0,1397
51,0,0,884,0,0,528,4,0,0,0,1416
52,0,0,882,0,0,563,4,0,0,0,1449
53,0,0,898,0,0,583,4,0,0,0,1485
54,0,0,922,0,0,616,4,0,0,0,1542
55,0,0,958,0,0,709,4,0,0,0,1671
56,0,0,1468,55,0,1874,4,0,0,0,3401
57,0,0,1589,67,0,2189,4,0,0,0,3849
58,0,0,1434,70,0,2766,8,0,0,0,4278
59,0,0,1582,205,0,3269,8,0,0,0,5064
60,146,0,2221,277,0,4607,63,0,0,11,7325
61,199,0,2386,294,0,4852,51,0,0,11,7793
62,190,0,2999,319,0,5646,44,0,0,19,9217
63,191,0,3369,366,0,6273,49,0,0,19,10267
64,191,18,4452,395,0,7244,62,0,0,19,12381
65,191,18,5551,421,0,7942,67,0,0,19,14209
