Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,12336,0,127,2437,0,2350,0,0,8,42,17300
6,12597,0,127,2473,0,2423,0,0,8,42,17670
7,12705,0,127,2508,0,2704,0,4,8,42,18098
8,13146,0,127,2573,0,2735,0,4,8,42,18635
9,13441,0,127,2731,0,2809,0,4,8,42,19162
10,13393,0,130,2825,0,2896,0,4,8,49,19305
11,14416,5929,479,2906,0,4413,0,127,0,84,28354
12,15047,6185,517,2999,0,4786,0,213,0,84,29831
13,15697,6352,520,2991,0,4872,0,213,0,84,30729
14,15885,6347,521,3014,0,5138,0,213,1,101,31220
15,16069,6581,521,3069,0,5250,0,126,1,101,31718
17,16720,7527,518,3172,0,5465,0,213,1,101,33717
18,17081,8052,525,3315,0,5641,0,127,10,109,34860
19,17503,8342,535,3325,0,5722,0,127,10,113,35677
20,18262,9098,554,3384,0,5823,0,127,10,115,37373
21,18477,9050,554,3395,0,5834,0,127,10,115,37562
22,18803,9436,578,3494,0,6146,0,127,10,126,38720
23,19489,9486,594,3553,0,6198,0,127,2,119,39568
24,20185,9928,596,3650,0,6324,0,128,2,121,40934
25,20352,10035,587,3655,0,6323,0,128,2,100,41182
26,19506,10077,665,3676,0,6462,0,128,2,103,40619
27,20261,10439,811,3708,0,6693,0,8,10,116,42046
28,19553,10950,935,3755,0,6833,0,8,10,116,42160
29,21203,11401,981,3875,0,7035,0,8,11,118,44632
30,21404,11649,975,3902,0,7055,0,8,11,118,45122
31,22078,11437,992,3789,0,7136,0,8,11,113,45564
32,23335,11256,1313,3811,0,7072,0,8,11,111,46917
33,23618,11589,1307,3831,0,7103,0,8,12,111,47579
34,24078,11684,1307,3869,0,7175,0,8,12,111,48244
35,24291,11732,1301,3876,0,7197,0,8,13,111,48529
36,24469,11943,1294,3922,0,7268,0,8,15,116,49035
37,24200,12188,1296,3952,0,7323,0,8,15,112,49094
38,28144,12254,1333,4007,0,7472,0,8,15,112,53345
39,28664,12017,1360,4025,0,7619,0,8,15,112,53820
40,35639,11911,1713,4044,0,7741,0,9,15,112,61184
41,29388,14126,1370,4105,0,7726,0,10,15,140,56880
42,29883,14342,1347,4422,0,7896,4,10,378,165,58447
43,32869,14489,1337,4478,0,8090,5,10,378,199,61855
44,30864,14347,1292,4448,0,7999,5,9,208,206,59378
45,30344,14371,1283,4363,0,8031,9,11,216,231,58859
46,22102,14735,1315,4417,0,8053,8,11,216,249,51106
47,22266,14495,1330,4487,0,8154,10,11,216,246,51215
48,22831,14842,1326,4542,0,7990,10,11,216,245,52013
49,23802,14620,1355,4600,0,8143,10,11,216,245,53002
50,24521,14945,1362,4679,0,8333,10,11,216,245,54322
51,24540,15046,1382,4705,0,8313,10,11,216,261,54484
52,25585,15376,1376,4841,0,8701,10,11,0,247,56147
53,25644,15430,1394,4856,0,8769,10,11,0,247,56361
54,27674,15344,1418,4756,0,8819,11,239,0,247,58508
55,26195,14374,1422,4361,0,8433,11,244,0,250,55290
56,27593,14959,2012,4612,0,10118,12,245,0,263,59814
57,28930,12954,2138,4811,0,10564,12,247,0,265,59921
58,29598,13312,1941,4641,0,11323,32,249,6,401,61503
59,28093,13671,2128,4811,0,11805,32,249,6,420,61215
60,27464,13782,2849,4823,0,13259,194,250,6,371,62998
61,36813,13130,3036,5017,0,13864,196,251,6,346,72659
62,35229,14747,3546,5130,0,13727,175,251,6,356,73167
63,33082,15110,3926,5292,0,14627,180,253,6,351,72827
64,34680,14986,5022,5301,0,15524,368,255,0,390,76526
65,35473,15183,6109,5365,0,16527,215,257,0,390,79519
