Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
23,17,0,0,0,0,0,0,0,0,0,17
24,17,0,0,0,0,0,0,0,0,0,17
25,28,0,0,0,0,0,0,0,0,0,28
26,28,0,0,0,0,0,0,0,0,0,28
27,28,0,0,0,0,0,0,0,0,0,28
28,28,0,0,0,0,0,0,0,0,0,28
29,28,0,0,0,0,0,0,0,0,0,28
30,28,0,0,0,0,0,0,0,0,0,28
31,38,0,0,0,0,0,0,0,0,0,38
32,38,0,0,0,0,0,0,0,0,0,38
33,38,0,0,0,0,0,0,0,0,0,38
34,38,0,0,0,0,0,0,0,0,0,38
35,66,0,0,0,0,0,0,0,0,0,66
36,66,0,0,0,0,0,0,0,0,0,66
37,66,0,0,0,0,0,0,0,0,0,66
38,66,0,0,0,0,0,0,0,0,0,66
39,111,0,0,0,0,0,0,0,0,0,111
40,106,0,0,0,0,0,0,0,0,0,106
41,106,0,0,0,0,0,0,0,0,0,106
42,106,0,0,0,0,0,0,0,0,0,106
43,106,0,0,0,0,0,0,0,0,0,106
44,106,0,0,0,0,0,0,0,0,0,106
45,130,0,0,0,0,0,0,0,0,0,130
46,138,0,0,0,0,0,0,0,0,0,138
47,130,0,0,0,0,0,0,0,0,0,130
48,120,0,0,0,0,0,0,0,0,0,120
49,109,0,0,0,0,0,0,0,0,0,109
50,109,0,0,0,0,0,0,0,0,0,109
51,110,0,0,0,0,0,0,0,0,0,110
52,110,0,0,0,0,0,0,0,0,0,110
53,106,0,0,0,0,0,0,0,0,0,106
54,106,0,0,0,0,0,0,0,0,0,106
55,90,0,0,0,0,0,0,0,0,0,90
56,516,0,0,0,0,0,0,0,0,0,516
57,516,0,0,0,0,0,0,0,0,0,516
58,734,0,0,0,0,0,0,0,0,0,734
59,704,0,0,0,0,0,0,0,0,0,704
60,707,0,0,0,0,0,0,0,0,0,707
61,680,0,0,0,0,0,0,0,0,0,680
62,699,0,0,0,0,0,0,0,0,0,699
63,699,0,0,0,0,0,0,0,0,0,699
64,689,0,0,0,0,0,0,0,0,0,689
65,689,0,0,0,0,0,0,0,0,0,689
