Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
37,28,0,0,0,0,0,0,0,0,0,28
38,28,0,0,0,0,0,0,0,0,0,28
39,28,0,0,0,0,0,0,0,0,0,28
40,28,0,0,0,0,0,0,0,0,0,28
41,28,0,0,0,0,0,0,0,0,0,28
42,29,0,0,0,0,0,0,0,0,0,29
43,27,0,0,0,0,0,0,0,0,0,27
44,27,0,0,0,0,0,0,0,0,0,27
45,29,0,0,0,0,0,0,0,0,0,29
46,28,0,0,0,0,0,0,0,0,0,28
47,28,0,0,0,0,0,0,0,0,0,28
48,29,0,0,0,0,0,0,0,0,0,29
49,29,0,0,0,0,0,0,0,0,0,29
50,54,0,0,0,0,0,0,0,0,0,54
51,54,0,0,0,0,0,0,0,0,0,54
52,54,0,0,0,0,0,0,0,0,0,54
53,54,0,0,0,0,0,0,0,0,0,54
54,54,0,0,0,0,0,0,0,0,0,54
55,41,0,0,0,0,0,0,0,0,0,41
56,89,0,0,0,0,0,0,0,0,0,89
57,104,0,0,0,0,0,0,0,0,0,104
58,115,0,0,0,0,0,0,0,0,0,115
59,115,0,0,0,0,0,0,0,0,0,115
60,95,0,0,0,0,0,0,0,0,0,95
61,68,0,0,0,0,0,0,0,0,0,68
62,71,0,0,0,0,0,0,0,0,0,71
63,82,0,0,0,0,0,0,0,0,0,82
64,82,0,0,0,0,0,0,0,0,0,82
65,91,0,0,0,0,0,0,0,0,0,91
