Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,32,0,0,0,0,0,32
6,32,0,0,0,0,0,32
7,32,0,0,0,0,0,32
8,32,0,0,0,0,0,32
9,32,0,0,0,0,0,32
10,32,0,0,0,0,0,32
11,32,0,0,0,0,0,32
12,27,0,0,0,0,0,27
13,27,0,0,0,0,0,27
14,18,0,0,0,0,0,18
15,18,0,0,0,0,0,18
17,18,0,0,0,0,0,18
18,18,0,0,0,0,0,18
19,18,0,0,0,0,0,18
20,18,0,0,0,0,0,18
21,18,0,0,0,0,0,18
22,18,0,0,0,0,0,18
23,18,0,0,0,0,0,18
24,18,0,0,0,0,0,18
25,18,0,0,0,0,0,18
26,18,0,0,0,0,0,18
27,18,0,0,0,0,0,18
28,18,0,0,0,0,0,18
29,18,0,0,0,0,0,18
30,18,0,0,0,0,0,18
31,18,0,0,0,0,0,18
32,18,0,0,0,0,0,18
33,18,0,0,0,0,0,18
34,18,0,0,0,0,0,18
35,18,0,0,0,0,0,18
36,18,0,0,0,0,0,18
37,8,0,0,0,0,0,0
38,8,0,0,0,0,0,0
