Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
27,108,0,0,0,0,0,108
28,108,0,0,0,0,0,108
29,108,0,0,0,0,0,108
30,108,0,0,0,0,0,108
31,108,0,0,0,0,0,108
32,108,0,0,0,0,0,108
33,108,0,0,0,0,0,108
34,108,0,0,0,0,0,108
35,108,0,0,0,0,0,108
36,108,0,0,0,0,0,108
37,108,0,0,0,0,0,108
38,108,0,0,0,0,0,108
39,108,0,0,0,0,0,108
40,108,0,0,0,0,0,108
41,108,0,0,0,0,0,108
42,108,0,0,0,0,0,108
43,108,0,0,0,0,0,108
44,108,0,0,0,0,0,108
45,108,0,0,0,0,0,108
46,108,0,0,0,0,0,108
47,108,0,0,0,0,0,108
48,108,0,0,0,0,0,108
49,108,0,0,0,0,0,108
50,108,0,0,0,0,0,108
51,108,0,0,0,0,0,108
52,108,0,0,0,0,0,108
53,108,0,0,0,0,0,108
54,108,0,0,0,0,0,108
55,90,0,0,0,0,0,90
56,99,0,0,0,0,0,99
57,99,0,0,0,0,0,99
58,99,0,0,0,0,0,99
59,99,0,0,0,0,0,99
60,99,0,0,0,0,0,99
