Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,1141,0,0,0,0,15,0,0,8,13,1177
6,1135,0,0,0,0,15,0,0,8,13,1171
7,1144,0,0,0,0,15,0,0,8,13,1180
8,1167,0,0,0,0,15,0,0,8,13,1203
9,1167,0,0,0,0,15,0,0,8,13,1203
10,1207,0,0,0,0,15,0,0,8,20,1250
11,1378,0,0,0,0,8,0,0,0,13,1399
12,1450,0,0,0,0,8,0,0,0,13,1471
13,1526,0,0,0,0,8,0,0,0,13,1547
14,1321,0,0,0,0,8,0,0,0,24,1353
15,1224,0,0,0,0,0,0,0,0,24,1248
17,1345,0,0,0,0,0,0,0,0,24,1369
18,1390,0,0,0,0,0,0,0,0,26,1416
19,1418,0,0,0,0,0,0,0,0,29,1447
20,1499,0,0,0,0,0,0,0,0,29,1528
21,1310,0,0,0,0,0,0,0,0,29,1339
22,902,0,0,0,0,0,0,0,0,29,931
23,855,0,0,0,0,0,0,0,0,29,884
24,861,0,0,0,0,0,0,0,0,29,890
25,785,0,0,0,0,0,0,0,0,29,814
26,812,0,0,0,0,0,0,0,0,29,841
27,810,0,0,0,0,0,0,0,0,29,839
28,813,0,0,0,0,0,0,0,0,29,842
29,815,0,0,0,0,0,0,0,0,29,844
30,816,0,0,0,0,0,0,0,0,29,845
31,816,0,0,0,0,0,0,0,0,30,846
32,1658,0,0,0,0,0,0,0,0,30,1688
33,1667,0,0,0,0,0,0,0,0,30,1697
34,1693,0,0,0,0,0,0,0,0,30,1723
35,1773,0,0,0,0,0,0,0,0,30,1803
36,1829,0,0,0,0,0,0,0,0,30,1859
37,1774,0,0,0,0,0,0,0,0,30,1804
38,1782,0,0,0,0,0,0,0,0,30,1812
39,1969,0,0,0,0,0,0,0,0,30,1999
40,2085,0,0,0,0,0,0,0,0,30,2115
41,2282,0,0,0,0,0,0,0,0,30,2312
42,2486,0,0,0,0,0,0,0,0,30,2516
43,2534,0,0,0,0,0,0,0,0,30,2564
44,2582,0,0,0,0,0,0,0,0,30,2612
45,2878,0,0,0,0,0,0,0,0,30,2908
