Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,3,0,0,0,0,0,0,0,0,0,3
6,3,0,0,0,0,0,0,0,0,0,3
7,3,0,0,0,0,0,0,0,0,0,3
8,3,0,0,0,0,0,0,0,0,0,3
9,3,0,0,0,0,0,0,0,0,0,3
10,3,0,0,0,0,0,0,0,0,0,3
11,3,0,0,0,0,0,0,0,0,0,3
12,3,0,0,0,0,0,0,0,0,0,3
13,31,0,0,0,0,0,0,0,0,0,31
14,31,0,0,0,0,0,0,0,0,0,31
15,31,0,0,0,0,0,0,0,0,0,31
17,31,0,0,0,0,0,0,0,0,0,31
18,31,0,0,0,0,0,0,0,0,0,31
19,31,0,0,0,0,0,0,0,0,0,31
20,31,0,0,0,0,0,0,0,0,0,31
21,31,0,0,0,0,0,0,0,0,0,31
22,31,0,0,0,0,0,0,0,0,0,31
23,45,0,0,0,0,0,0,0,0,0,45
24,45,0,0,0,0,0,0,0,0,0,45
25,45,0,0,0,0,0,0,0,0,0,45
26,45,0,0,0,0,0,0,0,0,0,45
27,45,0,0,0,0,0,0,0,0,0,45
28,45,0,0,0,0,0,0,0,0,0,45
29,45,0,0,0,0,0,0,0,0,0,45
30,45,0,0,0,0,0,0,0,0,0,45
31,45,0,0,0,0,0,0,0,0,0,45
32,45,0,0,0,0,0,0,0,0,0,45
33,45,0,0,0,0,0,0,0,0,0,45
34,45,0,0,0,0,0,0,0,0,0,45
35,45,0,0,0,0,0,0,0,0,0,45
36,45,0,0,0,0,0,0,0,0,0,45
37,57,0,0,0,0,0,0,0,0,0,57
38,57,0,0,0,0,0,0,0,0,0,57
39,57,0,0,0,0,0,0,0,0,0,57
40,58,0,0,0,0,0,0,0,0,0,58
41,58,0,0,0,0,0,0,0,0,0,58
42,58,0,0,0,0,0,0,0,0,0,58
43,58,0,0,0,0,0,0,0,0,0,58
44,58,0,0,0,0,0,0,0,0,0,58
45,58,0,0,0,0,0,0,0,0,0,58
46,61,0,0,0,0,0,0,0,0,0,61
47,61,0,0,0,0,0,0,0,0,0,61
48,61,0,0,0,0,0,0,0,0,0,61
49,61,0,0,0,0,0,0,0,0,0,61
50,61,0,0,0,0,0,0,0,0,0,61
51,61,0,0,0,0,0,0,0,0,0,61
52,61,0,0,0,0,0,0,0,0,0,61
53,61,0,0,0,0,0,0,0,0,0,61
54,61,0,0,0,0,0,0,0,0,0,61
55,59,0,0,0,0,0,0,0,0,0,59
56,61,0,0,0,0,0,0,0,0,0,61
57,61,0,0,0,0,0,0,0,0,0,61
58,61,0,0,0,0,0,0,0,0,0,61
