Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,0,0,0,0,0,0,0,0,0,15,15
6,0,0,0,0,0,0,0,0,0,15,15
7,0,0,0,0,0,0,0,0,0,15,15
8,0,0,0,0,0,0,0,0,0,15,15
9,0,0,0,0,0,0,0,0,0,15,15
10,0,0,0,0,0,0,0,0,0,15,15
11,0,0,0,0,0,0,0,0,0,15,15
12,0,0,0,0,0,0,0,0,0,15,15
13,0,0,0,0,0,0,0,0,0,15,15
14,0,0,0,0,0,0,0,0,0,15,15
15,0,0,0,0,0,0,0,0,0,15,15
17,0,0,0,0,0,0,0,0,0,15,15
18,0,0,0,0,0,0,0,0,0,18,18
19,0,0,0,0,0,0,0,0,0,18,18
20,0,0,0,0,0,0,0,0,0,20,20
21,0,0,0,0,0,0,0,0,0,19,19
22,61,0,0,0,0,0,0,0,0,31,92
23,85,0,0,0,0,0,0,0,0,24,109
24,85,0,0,0,0,0,0,0,0,26,111
25,148,0,0,0,0,0,0,0,0,5,153
26,163,0,0,0,0,0,0,0,0,8,171
27,206,0,0,0,0,0,0,0,0,21,227
28,202,0,0,0,0,0,0,0,0,21,223
29,202,0,0,0,0,0,0,0,0,25,227
30,202,0,0,0,0,0,0,0,0,25,227
31,202,0,0,0,0,0,0,0,0,25,227
32,202,0,0,0,0,0,0,0,0,25,227
33,202,0,0,0,0,0,0,0,0,25,227
34,202,0,0,0,0,0,0,0,0,25,227
35,204,0,0,0,0,0,0,0,0,25,229
36,211,0,0,0,0,0,0,0,0,30,241
37,209,0,0,0,0,0,0,0,0,26,235
38,202,0,0,0,0,0,0,0,0,26,228
39,211,0,0,0,0,0,0,0,0,26,237
40,211,0,0,0,0,0,0,0,0,26,237
41,212,0,0,0,0,0,0,0,0,54,266
42,212,0,0,0,0,0,0,0,0,63,275
43,211,0,0,0,0,0,0,0,0,63,274
44,214,0,0,0,0,0,0,0,0,70,284
45,214,0,0,0,0,0,0,0,0,94,308
46,214,0,0,0,0,0,0,0,0,146,360
47,213,0,0,0,0,0,0,0,0,143,356
48,196,0,0,0,0,0,0,0,0,142,338
49,197,0,0,0,0,0,0,0,0,142,339
50,197,0,0,0,0,0,0,0,0,142,339
51,196,0,0,0,0,0,0,0,0,151,347
52,196,0,0,0,0,0,0,0,0,151,347
53,196,0,0,0,0,0,0,0,0,151,347
54,196,0,0,0,0,0,0,0,0,151,347
55,184,0,0,0,0,0,0,0,0,158,342
56,196,0,0,0,0,0,0,0,0,171,367
57,199,0,0,0,0,0,0,0,0,192,391
58,246,0,0,0,0,0,0,0,0,293,539
59,245,0,0,0,0,0,0,0,0,299,544
60,273,0,0,0,0,0,5,0,0,307,585
61,225,0,0,0,0,0,4,0,0,279,508
62,245,0,0,0,0,0,11,0,0,266,522
63,249,0,0,0,0,0,11,0,0,262,522
64,258,0,0,0,0,0,24,0,0,278,560
65,273,0,0,0,0,0,22,0,0,282,577
