Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
45,0,0,0,0,0,0,4,0,0,0,4
46,0,0,0,0,0,0,3,0,0,0,3
47,0,0,0,0,0,0,5,0,0,0,5
48,0,0,0,0,0,0,5,0,0,0,5
49,0,0,0,0,0,0,5,0,0,0,5
50,0,0,0,0,0,0,5,0,0,0,5
51,0,0,0,0,0,0,5,0,0,0,5
52,0,0,0,0,0,0,5,0,0,0,5
53,0,0,0,0,0,0,5,0,0,0,5
54,0,0,0,0,0,0,5,0,0,0,5
55,0,0,0,0,0,0,5,0,0,0,5
56,0,0,0,0,0,0,5,0,0,0,5
57,0,0,0,0,0,0,5,0,0,0,5
58,0,0,0,0,0,0,17,0,0,0,17
59,0,0,0,0,0,0,17,0,0,0,17
60,0,0,0,0,0,0,18,0,0,0,18
61,0,0,0,0,0,0,18,0,0,0,18
62,0,0,0,0,0,0,18,0,0,0,18
63,0,0,0,0,0,0,18,0,0,0,18
64,0,0,0,0,0,0,185,0,0,0,185
65,0,0,0,0,0,0,29,0,0,0,29
