Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,62,0,0,11,0,30,103
6,65,0,0,12,0,30,107
7,76,0,0,22,0,39,137
8,82,0,0,23,1,40,146
9,86,0,0,26,1,40,153
10,88,0,0,28,1,40,157
11,101,3,0,29,1,53,187
12,101,3,0,30,1,54,189
13,100,2,0,26,3,46,177
14,101,2,0,26,3,48,180
15,105,2,0,26,3,48,184
17,101,2,0,29,3,50,185
18,102,2,0,30,3,51,188
19,105,2,0,30,3,51,191
20,108,2,0,30,3,48,191
21,116,2,0,30,3,48,199
22,126,2,0,32,3,48,211
23,126,2,0,33,3,48,212
24,128,2,0,33,3,49,215
25,129,2,0,33,3,49,216
26,132,2,0,33,3,49,219
27,128,2,0,33,3,49,215
28,121,2,0,34,3,49,209
29,124,4,0,34,3,49,214
30,126,4,0,34,3,49,216
31,127,4,0,34,3,49,217
32,129,4,0,34,3,49,219
33,129,6,0,34,3,53,225
34,134,6,0,34,3,55,232
35,134,6,0,34,3,55,232
36,134,6,0,35,3,57,235
37,135,6,0,34,3,58,236
38,136,6,0,35,3,58,238
39,136,6,0,35,3,56,236
40,136,6,0,36,3,56,237
41,136,6,0,36,3,56,237
42,138,6,0,38,3,57,242
43,134,6,0,38,3,57,238
44,115,2,0,35,2,39,193
