Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,7,0,0,3,0,6,16
6,7,0,0,3,0,6,16
7,0,0,0,0,0,1,0
8,0,0,0,0,0,1,0
9,0,0,0,0,0,1,0
10,0,0,0,0,0,1,0
11,0,0,0,0,0,1,0
12,0,0,0,0,0,1,0
13,0,0,0,0,0,1,0
14,0,0,0,0,0,1,0
15,0,0,0,0,0,1,0
17,14,0,0,0,0,0,14
18,14,0,0,0,0,0,14
19,14,0,0,0,0,0,14
20,14,0,0,0,0,0,14
21,14,0,0,0,0,0,14
22,14,0,0,0,0,0,14
23,14,0,0,0,0,0,14
24,14,0,0,0,0,0,14
25,14,0,0,0,0,0,14
26,14,0,0,0,0,0,14
27,14,0,0,0,0,0,14
28,14,0,0,0,0,0,14
29,14,0,0,0,0,0,14
30,14,0,0,0,0,0,14
31,14,0,0,0,0,0,14
32,14,0,0,0,0,0,14
33,14,0,0,0,0,0,14
34,14,0,0,0,0,0,14
35,14,0,0,0,0,0,14
36,14,0,0,0,0,0,14
37,14,0,0,0,0,0,14
38,14,0,0,0,0,0,14
39,14,0,0,0,0,0,14
40,14,0,0,0,0,0,14
41,14,0,0,0,0,0,14
42,17,0,0,0,0,2,19
43,17,0,0,0,0,2,19
44,17,0,0,0,0,2,19
45,18,0,0,0,0,2,20
46,18,0,0,0,0,2,20
47,19,0,0,0,0,2,21
48,20,0,0,0,0,2,22
49,20,0,0,0,0,2,22
50,20,0,0,0,0,2,22
51,20,0,0,0,0,2,22
52,20,0,0,0,0,2,22
53,20,0,0,0,0,2,22
54,20,0,0,0,0,2,22
55,20,0,0,0,0,2,22
56,20,0,0,0,0,2,22
57,20,0,0,0,0,2,22
58,20,0,0,0,0,1,21
59,20,0,0,0,0,1,21
60,19,0,0,0,0,1,20
61,20,0,0,0,0,1,21
62,20,0,0,0,0,1,21
63,20,0,0,0,0,1,21
64,20,0,0,0,0,1,21
65,20,0,0,0,0,1,21
