Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
9,0,0,0,1,0,2,3
10,0,0,0,1,0,2,3
11,0,0,0,1,0,3,4
12,0,0,0,1,0,6,7
13,0,0,0,1,0,6,7
14,0,0,0,1,0,6,7
15,0,0,0,1,0,6,7
17,0,0,0,1,0,6,7
18,0,0,0,1,0,6,7
19,0,0,0,1,0,6,7
20,0,0,0,1,0,6,7
21,0,0,0,1,0,6,7
22,0,0,0,1,0,6,7
23,0,0,0,1,0,6,7
24,0,0,0,1,0,6,7
25,0,0,0,1,0,6,7
26,0,0,0,1,0,6,7
27,0,0,0,1,0,6,7
28,0,0,0,1,0,6,7
29,0,0,0,1,0,6,7
30,0,0,0,1,0,6,7
31,0,0,0,1,0,6,7
32,0,0,0,1,0,6,7
33,0,0,0,1,0,6,7
34,0,0,0,1,0,6,7
35,0,0,0,1,0,6,7
36,0,0,0,1,0,6,7
37,0,0,0,1,0,6,7
38,0,0,0,1,0,6,7
39,0,0,0,1,0,6,7
40,0,0,0,1,0,6,7
41,0,0,0,1,0,6,7
42,0,0,0,1,0,6,7
43,0,0,0,1,0,6,7
44,0,0,0,1,0,6,7
45,0,0,0,1,0,6,7
46,0,0,0,1,0,6,7
47,0,0,0,1,0,6,7
