Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,221,0,0,53,0,59,333
6,233,0,0,53,0,59,345
7,242,0,0,56,0,62,360
8,251,0,0,59,0,66,376
9,253,0,0,59,0,67,379
10,252,0,0,59,0,68,379
11,281,0,0,59,0,68,408
12,296,0,0,61,0,73,430
13,304,0,0,65,0,79,448
14,307,0,0,65,0,79,451
15,309,0,0,65,0,79,453
17,315,0,0,65,0,79,459
18,323,0,0,65,0,79,467
19,328,0,0,65,0,79,472
20,336,0,0,67,0,80,483
21,355,0,0,67,0,80,502
22,364,0,0,68,0,81,513
23,378,0,0,69,0,83,530
24,386,0,0,69,0,83,538
25,390,0,0,69,0,83,542
26,363,0,0,69,0,83,515
27,369,0,0,67,0,81,517
28,367,0,0,67,0,81,515
29,367,0,0,79,0,98,544
30,373,0,0,79,0,98,550
31,374,0,0,79,0,98,551
32,380,0,0,80,0,100,560
33,378,0,0,80,0,100,558
34,380,0,0,83,0,105,568
35,380,0,0,83,0,105,568
36,380,0,0,84,0,107,571
37,368,0,0,85,0,111,564
38,474,0,0,86,1,112,673
39,475,0,0,86,1,112,674
40,475,0,0,88,1,115,679
41,481,0,0,88,1,115,685
42,473,0,0,87,1,114,675
43,534,0,0,88,1,115,738
44,510,0,0,91,1,118,720
45,520,0,0,92,1,120,733
46,386,0,0,95,0,123,604
47,384,0,0,96,0,125,605
48,403,0,0,97,0,128,628
49,426,0,1,97,1,128,653
50,431,0,1,97,1,129,659
51,431,0,1,107,1,144,684
52,437,0,1,112,1,155,706
53,438,0,1,113,1,163,716
54,453,0,1,120,1,173,748
55,455,0,1,124,1,181,762
56,467,0,1,127,1,186,782
57,474,0,1,127,1,187,790
58,506,0,1,127,1,187,822
59,532,0,1,127,1,187,848
60,554,0,0,121,0,192,867
61,608,0,0,122,0,202,932
62,640,0,0,122,0,158,920
63,637,0,0,124,0,159,920
64,631,0,0,101,0,129,861
65,638,0,0,101,0,129,868
