Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
45,115,2,0,36,2,39,194
46,116,2,0,36,2,39,195
47,116,2,0,36,2,39,195
48,117,2,0,36,2,39,196
49,120,2,0,36,2,39,199
50,122,2,0,36,2,39,201
51,123,2,0,36,2,39,202
52,123,2,0,36,2,39,202
53,123,2,0,36,2,39,202
54,123,2,0,35,2,37,199
55,125,2,0,35,2,36,200
56,125,2,0,35,2,36,200
57,128,2,0,35,2,38,205
58,131,2,0,35,2,38,208
59,128,2,0,36,2,38,206
60,129,2,1,47,2,51,232
61,123,2,1,48,2,54,230
62,125,3,0,47,2,53,230
63,128,4,0,49,2,54,237
