Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,0,0,1,61,0,86,0,0,0,0,148
6,0,0,1,63,0,89,0,0,0,0,153
7,0,0,1,68,0,94,0,0,0,0,163
8,0,0,1,67,0,94,0,0,0,0,162
9,0,0,1,68,0,96,0,0,0,0,165
10,0,0,1,74,0,104,0,0,0,0,179
11,0,0,1,75,0,107,0,0,0,0,183
12,0,0,1,76,0,110,0,0,0,0,187
13,0,0,1,75,0,110,0,0,0,0,186
14,0,0,1,75,0,114,0,0,0,0,190
15,0,0,1,75,0,117,0,0,0,0,193
17,0,0,1,75,0,119,0,0,0,0,195
18,0,0,1,79,0,126,0,0,0,0,206
19,0,0,1,79,0,126,0,0,0,0,206
20,0,0,1,80,0,127,0,0,0,0,208
21,0,0,1,80,0,127,0,0,0,0,208
22,0,0,1,80,0,129,0,0,0,0,210
23,0,0,1,81,0,130,0,0,0,0,212
24,0,0,1,82,0,131,0,0,0,0,214
25,0,0,1,82,0,131,0,0,0,0,214
26,0,0,1,82,0,131,0,0,0,0,214
27,0,0,1,83,0,131,0,0,0,0,215
28,0,0,1,85,0,133,0,0,0,0,219
29,0,0,1,87,0,135,0,0,0,0,223
30,0,0,1,88,0,136,0,0,0,0,225
31,0,0,2,92,0,143,0,0,0,0,237
32,0,0,2,92,0,143,0,0,0,0,237
33,0,0,2,93,0,144,0,0,0,0,239
34,0,0,2,93,0,144,0,0,0,0,239
35,0,0,2,94,0,144,0,0,0,0,240
36,0,0,2,95,0,145,0,0,0,0,242
37,0,0,2,96,0,146,0,0,0,0,244
38,0,0,2,97,0,147,0,0,0,0,246
39,0,0,2,98,0,149,0,0,0,0,249
40,0,0,2,98,0,148,0,0,0,0,248
41,0,0,0,101,0,147,0,0,0,0,248
42,0,0,0,111,0,160,0,0,0,0,271
43,0,0,0,119,0,168,0,0,0,0,287
44,0,0,0,116,0,165,0,0,0,0,281
45,0,0,0,118,0,168,0,0,0,0,286
46,0,0,0,118,0,168,0,0,0,0,286
47,0,0,0,124,0,175,0,0,0,0,299
48,0,0,0,127,0,179,0,0,0,0,306
49,0,0,0,132,0,185,0,0,0,0,317
50,0,0,0,139,0,196,0,0,0,0,335
51,0,0,0,139,0,196,0,0,0,0,335
52,0,0,0,146,0,209,0,0,0,0,355
53,0,0,0,147,0,209,0,0,0,0,356
54,0,0,0,148,0,210,0,0,0,0,358
55,0,0,0,155,0,218,0,0,0,0,373
56,0,0,0,174,0,245,0,0,0,0,419
57,0,0,0,179,0,248,0,0,0,0,427
58,0,0,0,174,0,246,0,0,0,0,420
59,0,0,0,174,0,250,0,0,0,0,424
60,0,0,0,166,0,242,3,0,0,0,411
61,0,0,0,174,0,246,2,0,0,0,422
62,0,0,2,184,0,233,2,0,0,0,421
63,0,0,2,180,0,234,2,0,0,0,418
64,0,0,0,187,0,231,3,0,0,0,421
65,0,0,0,190,0,234,3,0,0,0,427
