Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
11,0,267,29,0,3,111,410
12,0,282,29,0,3,141,455
13,0,293,29,0,3,145,470
14,0,288,29,0,3,145,465
15,0,308,29,0,3,114,454
17,0,360,29,0,3,147,539
18,2,380,30,0,3,116,531
19,2,400,32,0,3,121,558
20,2,449,34,0,3,125,613
21,2,437,36,0,3,128,606
22,2,464,37,0,3,139,645
23,2,456,39,0,3,145,645
24,2,482,39,0,3,145,671
25,2,490,39,0,3,145,679
26,3,479,39,0,3,147,671
27,11,509,50,0,3,135,708
28,15,516,56,0,3,140,730
29,23,531,58,0,3,139,754
30,24,542,58,0,3,139,766
31,24,538,58,0,3,140,763
32,25,535,37,0,3,112,712
33,25,548,37,0,3,112,725
34,25,554,37,0,3,112,731
35,25,558,37,0,3,112,735
36,25,567,37,0,3,112,744
37,25,598,37,0,3,112,775
38,25,601,38,0,3,119,786
39,24,579,39,0,4,116,762
40,25,607,39,0,4,123,798
41,25,642,39,0,5,116,827
42,26,683,39,0,5,123,876
43,26,694,39,0,5,123,887
44,25,669,40,0,5,118,857
45,27,671,39,0,5,119,861
46,27,715,43,0,5,127,917
47,27,678,43,0,5,122,875
48,27,722,43,0,5,126,923
49,27,688,44,0,5,123,887
50,27,706,45,0,5,124,907
51,27,704,46,0,5,125,907
52,27,745,45,0,5,128,950
53,27,746,45,0,5,125,948
54,27,713,45,0,5,200,990
55,27,727,45,0,5,200,1004
56,27,751,46,0,5,204,1033
57,27,696,46,0,4,202,975
58,30,701,43,0,4,200,978
59,30,736,50,0,4,206,1026
60,29,742,58,0,4,218,1051
61,29,749,62,0,4,223,1067
62,28,845,49,0,4,193,1119
63,28,851,50,0,4,196,1129
64,28,780,53,0,4,204,1069
65,28,760,56,0,4,203,1051
