Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
26,0,0,13,0,0,20,0,0,0,0,33
27,0,0,14,0,0,22,0,0,0,0,36
28,0,0,15,0,0,28,0,0,0,0,43
29,0,0,17,0,0,29,0,0,0,0,46
30,0,0,17,0,0,29,0,0,0,0,46
31,0,0,19,0,0,30,0,0,0,0,49
32,0,0,25,0,0,32,0,0,0,0,57
33,0,0,25,0,0,32,0,0,0,0,57
34,0,0,26,0,0,33,0,0,0,0,59
35,0,0,27,0,0,33,0,0,0,0,60
36,0,0,27,0,0,32,0,0,0,0,59
37,0,0,28,0,0,33,0,0,0,0,61
38,0,0,46,0,1,53,0,0,0,0,100
39,0,0,50,0,1,60,0,0,0,0,111
40,0,0,52,0,1,64,0,0,0,0,117
41,0,0,53,0,1,65,0,0,0,0,119
42,0,0,53,0,1,65,1,0,0,0,120
43,0,0,53,0,1,66,1,0,0,0,121
44,0,0,35,0,0,47,1,0,0,0,83
45,0,0,35,0,0,46,1,0,0,0,82
46,0,0,35,0,0,46,1,0,0,0,82
47,0,0,36,0,0,46,1,0,0,0,83
48,0,0,35,0,0,46,1,0,0,0,82
49,0,0,35,0,0,46,1,0,0,0,82
50,0,0,38,0,0,50,1,0,0,0,89
51,0,0,38,0,0,50,1,0,0,0,89
52,0,0,37,0,0,52,1,0,0,0,90
53,0,0,38,0,0,53,1,0,0,0,92
54,0,0,39,0,0,53,1,0,0,0,93
55,0,0,46,0,0,61,1,0,0,0,108
56,0,0,102,5,0,146,1,0,0,0,254
57,0,0,119,7,0,170,1,0,0,0,297
58,0,0,121,7,0,175,1,0,0,0,304
59,0,0,139,9,0,205,1,0,0,0,354
60,19,0,181,12,1,266,10,0,0,7,496
61,18,0,191,12,1,277,8,0,0,7,514
62,18,0,216,16,1,307,8,0,0,5,571
63,18,0,228,18,1,324,9,0,0,5,603
64,18,2,252,17,1,397,11,0,0,5,703
65,18,2,275,18,1,429,12,0,0,5,760
