Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,398,0,1,128,23,198,748
6,411,0,1,131,23,202,768
7,430,0,1,146,28,215,820
8,447,0,1,149,29,220,846
9,454,0,1,154,29,225,863
10,455,0,1,162,29,235,882
11,518,279,30,166,39,374,1406
12,546,294,30,170,39,417,1496
13,570,304,30,170,42,423,1539
14,580,291,30,170,45,430,1546
15,586,311,30,170,45,402,1544
17,615,363,30,173,53,439,1673
18,635,383,31,178,53,418,1698
19,652,403,33,178,54,423,1743
20,673,452,35,181,56,428,1825
21,694,440,37,181,56,431,1839
22,694,467,38,184,62,445,1890
23,713,459,40,187,62,453,1914
24,723,485,40,197,63,463,1971
25,725,493,40,197,60,462,1977
26,702,482,50,197,60,478,1969
27,843,519,63,196,62,478,2161
28,840,526,70,199,62,492,2189
29,856,544,75,213,65,515,2268
30,868,555,75,214,65,516,2293
31,867,551,78,209,65,517,2287
32,922,548,64,210,65,499,2308
33,926,563,64,211,67,506,2337
34,939,569,65,214,68,511,2366
35,954,573,66,215,68,512,2388
36,955,582,66,218,69,517,2407
37,948,613,67,219,69,526,2442
38,1054,616,86,222,73,556,2607
39,1059,594,89,223,75,556,2596
40,1071,622,92,226,78,581,2670
41,1098,657,92,229,79,584,2739
42,1123,698,92,240,82,625,2860
43,1186,709,92,249,83,642,2961
44,1136,680,75,246,84,579,2800
45,1164,682,74,250,88,590,2848
46,869,726,78,253,87,595,2608
47,867,689,79,260,93,600,2588
48,890,733,78,263,96,606,2666
49,917,699,80,268,96,609,2669
50,948,717,84,275,100,627,2751
51,939,715,85,285,101,643,2768
52,889,756,83,297,47,662,2734
53,890,757,84,299,47,668,2745
54,907,724,85,306,22,754,2798
55,911,738,92,317,22,780,2860
56,927,762,149,343,19,905,3105
57,934,707,166,350,17,935,3109
58,962,712,165,346,16,938,3139
59,788,740,192,350,13,966,3049
60,841,746,242,350,14,1065,3258
61,946,768,256,362,15,1098,3445
62,991,867,269,374,15,1038,3554
63,995,874,282,376,16,1059,3602
64,1017,851,309,359,16,1133,3685
65,1046,831,335,363,16,1174,3765
