Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
22,0,0,0,0,1,0,0
23,0,0,0,0,1,0,0
24,0,0,0,0,1,0,0
25,0,0,0,0,1,0,0
26,0,0,0,0,1,0,0
27,0,0,0,0,1,0,0
28,0,0,0,0,1,0,0
29,0,0,0,0,1,0,0
30,0,0,0,0,1,0,0
31,0,0,0,0,2,0,2
32,0,0,0,0,2,0,2
33,0,0,0,0,4,0,4
34,0,0,0,0,5,0,5
35,0,0,0,0,5,0,5
36,0,0,0,0,5,0,5
37,0,0,0,0,5,0,5
38,0,0,0,0,6,0,6
39,0,0,0,0,7,0,7
40,0,0,0,0,8,0,8
41,0,0,0,0,8,0,8
42,0,0,0,0,10,0,10
43,0,0,0,0,10,0,10
44,0,0,0,0,13,0,13
45,0,0,0,0,13,0,13
46,0,0,0,0,13,0,13
47,0,0,0,0,19,0,19
48,0,0,0,0,20,0,20
49,0,0,0,0,22,0,22
50,0,0,0,0,23,0,23
51,0,0,0,0,23,0,23
52,0,0,0,0,24,0,24
53,0,0,0,0,24,0,24
