Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,0,0,0,0,19,1,20
6,0,0,0,0,19,1,20
7,0,0,0,0,23,1,24
8,0,0,0,0,23,1,24
9,0,0,0,0,23,1,24
10,0,0,0,0,23,1,24
11,0,0,0,0,28,1,29
12,0,0,0,0,28,1,29
13,0,0,0,0,30,1,31
14,0,0,0,0,33,1,34
15,0,0,0,0,33,1,34
17,0,0,0,0,37,1,38
18,0,0,0,0,37,1,38
19,0,0,0,0,37,1,38
20,0,0,0,0,38,1,39
21,0,0,0,0,39,1,40
22,0,0,0,0,42,1,43
23,0,0,0,0,42,1,43
24,0,0,0,0,42,1,43
25,0,0,0,0,39,1,40
26,0,0,0,0,39,1,40
27,0,0,0,0,41,1,42
28,0,0,0,0,41,1,42
29,0,0,0,0,46,1,47
30,0,0,0,0,46,1,47
31,0,0,0,0,46,1,47
32,0,0,0,0,46,1,47
33,0,0,0,0,46,1,47
34,0,0,0,0,46,1,47
35,0,0,0,0,46,1,47
36,0,0,0,0,47,1,48
37,0,0,0,0,47,1,48
38,0,0,0,0,48,1,49
39,0,0,0,0,48,1,49
40,0,0,0,0,49,1,50
41,0,0,0,0,49,1,50
42,0,0,0,0,48,1,49
43,0,0,0,0,48,1,49
44,0,0,0,0,48,1,49
45,0,0,0,0,50,1,51
46,0,0,0,0,53,1,54
47,0,0,0,0,53,1,54
48,0,0,0,0,54,1,55
49,0,0,0,0,51,1,52
50,0,0,0,0,54,1,55
51,0,0,0,0,54,1,55
62,1,0,0,0,0,0,0
63,1,0,0,0,0,0,0
64,1,0,0,0,0,0,0
65,1,0,0,0,0,0,0
