Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
37,3,0,0,0,0,0,0,0,0,0,3
38,3,0,0,0,0,0,0,0,0,0,3
39,3,0,0,0,0,0,0,0,0,0,3
40,3,0,0,0,0,0,0,0,0,0,3
41,3,0,0,0,0,0,0,0,0,0,3
42,3,0,0,0,0,0,0,0,0,0,3
43,3,0,0,0,0,0,0,0,0,0,3
44,3,0,0,0,0,0,0,0,0,0,3
45,3,0,0,0,0,0,0,0,0,0,3
46,3,0,0,0,0,0,0,0,0,0,3
47,3,0,0,0,0,0,0,0,0,0,3
48,3,0,0,0,0,0,0,0,0,0,3
49,3,0,0,0,0,0,0,0,0,0,3
50,4,0,0,0,0,0,0,0,0,0,4
51,4,0,0,0,0,0,0,0,0,0,4
52,4,0,0,0,0,0,0,0,0,0,4
53,4,0,0,0,0,0,0,0,0,0,4
54,4,0,0,0,0,0,0,0,0,0,4
55,4,0,0,0,0,0,0,0,0,0,4
56,7,0,0,0,0,0,0,0,0,0,7
57,8,0,0,0,0,0,0,0,0,0,8
58,9,0,0,0,0,0,0,0,0,0,9
59,9,0,0,0,0,0,0,0,0,0,9
60,8,0,0,0,0,0,0,0,0,0,8
61,6,0,0,0,0,0,0,0,0,0,6
62,6,0,0,0,0,0,0,0,0,0,6
63,7,0,0,0,0,0,0,0,0,0,7
64,7,0,0,0,0,0,0,0,0,0,7
65,8,0,0,0,0,0,0,0,0,0,8
