Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,8,0,0,0,0,0,0,0,0,0,8
6,8,0,0,0,0,0,0,0,0,0,8
7,9,0,0,0,0,0,0,0,0,0,9
8,9,0,0,0,0,0,0,0,0,0,9
9,9,0,0,0,0,0,0,0,0,0,9
10,8,0,0,0,0,0,0,0,0,0,8
11,19,1,0,3,0,7,0,7,0,1,38
12,20,1,0,3,0,7,0,7,0,1,39
13,19,1,0,3,0,7,0,7,0,1,38
14,13,1,0,3,0,9,0,7,0,2,35
15,54,1,0,3,0,10,0,7,0,2,77
17,57,1,0,3,0,10,0,7,0,2,80
18,61,1,0,3,0,10,0,7,0,2,84
19,68,1,0,3,0,10,0,7,0,2,91
20,66,1,0,3,0,10,0,7,0,2,89
21,67,1,0,3,0,10,0,7,0,2,90
22,67,1,0,3,0,10,0,7,0,2,90
23,72,1,0,3,0,10,0,7,0,2,95
24,72,1,0,3,0,9,0,7,0,2,94
25,72,1,0,3,0,9,0,7,0,2,94
26,71,1,0,3,0,9,0,7,0,2,93
27,191,8,0,3,0,17,0,8,0,2,229
28,193,8,0,3,0,18,0,8,0,2,232
29,196,9,0,3,0,18,0,8,0,2,236
30,197,9,0,3,0,18,0,8,0,2,237
31,193,9,0,3,0,18,0,8,0,2,233
32,196,9,0,3,0,18,0,8,0,2,236
33,202,9,0,3,0,20,0,8,0,2,244
34,204,9,0,3,0,17,0,8,0,2,243
35,207,9,0,3,0,17,0,8,0,2,246
36,207,9,0,3,0,17,0,8,0,2,246
37,206,9,0,3,0,17,0,8,0,2,245
38,205,9,0,3,0,17,0,8,0,2,244
39,205,9,0,3,0,17,0,8,0,2,244
40,206,9,0,3,0,26,0,8,0,2,254
41,221,9,0,3,0,27,0,10,0,2,272
42,232,9,0,3,2,28,0,10,0,2,286
43,235,9,0,3,2,28,0,10,0,2,289
44,228,9,0,3,2,17,0,11,0,2,272
45,226,9,0,3,2,17,0,11,0,2,270
46,219,9,0,3,2,17,0,12,0,2,264
47,218,9,0,3,2,18,0,12,0,2,264
48,218,9,0,3,2,18,0,12,0,2,264
49,220,9,0,3,2,18,0,12,0,2,266
50,243,9,0,3,2,19,0,12,0,2,290
51,233,9,0,3,2,19,0,12,0,2,280
52,230,9,0,3,2,19,0,12,0,2,277
53,230,9,0,3,2,19,0,12,0,2,277
54,232,9,0,3,2,19,0,12,0,2,279
55,232,9,0,3,2,19,0,12,0,2,279
56,232,9,0,3,2,19,0,12,0,2,279
57,234,9,0,3,2,19,0,13,0,2,282
58,225,9,0,3,1,19,0,13,0,2,272
59,1,0,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,0,0,0
63,1,0,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,0,0
65,1,0,0,0,0,0,0,0,0,0,0
