Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,65,0,0,0,1,7,73
6,65,0,0,0,1,7,73
7,70,0,0,0,1,7,78
8,72,0,0,0,1,7,80
9,72,0,0,0,1,7,80
10,73,0,0,0,1,8,82
11,83,0,0,0,1,4,88
12,88,0,0,0,1,4,93
13,95,0,0,0,1,4,100
14,93,0,0,0,1,5,99
15,83,0,0,0,1,4,88
17,92,0,0,0,1,4,97
18,93,0,0,0,1,4,98
19,95,0,0,0,1,4,100
20,99,0,0,0,1,5,105
21,92,0,0,0,1,5,98
22,68,0,0,0,1,5,74
23,63,0,0,0,1,5,69
24,63,0,0,0,1,5,69
25,57,0,0,0,1,5,63
26,58,0,0,0,1,6,65
27,58,0,0,0,1,6,65
28,58,0,0,0,1,6,65
29,58,0,0,0,1,6,65
30,58,0,0,0,1,6,65
31,58,0,0,0,1,6,65
32,101,0,0,0,1,6,108
33,101,0,0,0,1,6,108
34,102,0,0,0,1,6,109
35,109,0,0,0,1,6,116
36,110,0,0,0,1,6,117
37,113,0,0,0,1,7,121
38,110,0,0,0,1,7,118
39,116,0,0,0,1,7,124
40,121,0,0,0,1,7,129
41,126,0,0,0,1,8,135
42,140,0,0,0,1,9,150
43,143,0,0,0,1,10,154
44,143,0,0,0,1,10,154
45,156,0,0,0,3,12,171
