Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,1,0,0,0,0,1,2
6,1,0,0,0,0,1,2
7,1,0,0,0,1,1,3
8,1,0,0,0,1,1,3
9,1,0,0,0,1,1,3
10,1,0,0,0,1,1,3
11,1,0,0,0,2,1,4
12,1,0,0,0,2,1,4
13,1,0,0,0,1,1,3
14,1,0,0,0,1,1,3
15,1,0,0,0,1,1,3
17,1,0,0,0,1,1,3
18,1,0,0,0,1,1,3
19,1,0,0,0,1,1,3
20,1,0,0,0,1,1,3
21,1,0,0,0,1,1,3
22,1,0,0,0,1,1,3
23,1,0,0,0,1,1,3
24,1,0,0,0,1,1,3
25,1,0,0,0,1,1,3
26,1,0,0,0,1,1,3
27,1,0,0,0,1,1,3
28,1,0,0,0,1,1,3
29,1,0,0,0,1,1,3
30,1,0,0,0,1,1,3
31,1,0,0,0,1,1,3
32,1,0,0,0,1,1,3
33,1,0,0,0,1,1,3
34,1,0,0,0,1,1,3
35,1,0,0,0,1,1,3
36,1,0,0,0,1,1,3
37,1,0,0,0,1,1,3
38,1,0,0,0,1,1,3
39,1,0,0,0,1,1,3
40,1,0,0,0,1,1,3
41,1,0,0,0,1,1,3
42,1,0,0,0,1,1,3
43,1,0,0,0,1,1,3
44,1,0,0,0,1,1,3
45,1,0,0,0,1,1,3
46,1,0,0,0,1,1,3
47,1,0,0,0,1,1,3
48,1,0,0,0,1,1,3
49,1,0,0,0,1,1,3
50,1,0,0,0,1,1,3
51,1,0,0,0,1,1,3
52,1,0,0,0,1,1,3
53,1,0,0,0,1,1,3
54,1,0,0,0,1,1,3
55,1,0,0,0,1,1,3
56,1,0,0,0,1,1,3
57,1,0,0,0,1,1,3
58,1,0,0,0,1,1,3
