Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
43,127,0,0,0,0,119,0,0,0,282,528
44,134,0,0,0,0,127,0,0,0,283,544
45,135,0,0,0,0,132,0,0,0,286,553
46,135,0,0,0,0,132,0,0,0,286,553
47,135,0,0,0,0,131,0,0,0,285,551
48,135,0,0,0,0,131,0,0,0,285,551
49,135,0,0,0,0,131,0,0,0,285,551
50,135,0,0,0,0,131,0,0,0,285,551
51,135,0,0,0,0,131,0,0,0,285,551
52,135,0,0,0,0,131,0,0,0,285,551
53,134,0,0,0,0,113,0,0,0,285,532
54,134,0,0,0,0,113,0,0,0,285,532
55,132,0,0,0,0,113,0,0,0,285,530
56,132,0,0,0,0,128,0,0,0,285,545
57,132,0,0,0,0,128,0,0,0,285,545
58,131,0,0,0,0,140,0,0,0,326,597
59,131,0,0,0,0,54,0,0,0,326,511
