Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,8832,0,0,581,0,317,0,863,0,0,10593
6,9243,0,0,600,0,317,0,863,0,0,11023
7,10695,0,0,1678,0,683,0,924,0,0,13980
8,11745,0,0,1879,68,696,0,924,0,0,15312
9,12608,0,0,2232,68,696,0,924,0,0,16528
10,12851,0,0,2491,68,696,0,900,0,0,17006
11,14839,220,0,2586,68,801,0,1015,0,0,19529
12,14844,220,0,2707,68,836,0,1019,0,0,19694
13,15022,148,0,2461,114,802,0,772,0,0,19319
14,15059,148,0,2463,114,838,0,772,0,0,19394
15,15673,148,0,2489,114,838,0,772,0,0,20034
17,15916,148,0,2855,116,870,0,779,0,0,20684
18,16064,148,0,2985,116,876,0,779,0,0,20968
19,16346,148,0,2998,116,876,0,779,0,0,21263
20,17038,148,0,3100,116,817,0,779,0,0,21998
21,18193,148,0,3100,116,817,0,779,0,0,23153
22,20130,89,0,3468,116,817,0,794,0,0,25414
23,20338,89,0,3658,116,817,0,794,0,0,25812
24,20680,110,0,3725,116,1000,0,801,0,0,26432
25,20935,110,0,3725,134,1000,0,812,0,0,26716
26,21503,110,0,3549,134,1000,0,812,0,0,27108
27,20865,110,0,3534,134,1000,0,812,0,0,26455
28,19836,110,0,3631,134,1000,0,819,0,0,25530
29,20968,159,0,3638,134,1000,0,821,0,0,26720
30,21503,159,0,3638,134,1000,0,821,0,0,27255
31,22442,159,0,3566,134,1000,0,821,0,0,28122
32,22627,159,0,3585,134,1000,0,821,0,0,28326
33,23059,242,0,3609,134,1027,0,862,0,0,28933
34,23893,242,0,3644,134,1048,0,906,0,0,29867
35,23946,242,0,3645,134,1048,0,906,0,0,29921
36,23947,242,0,3757,134,1058,0,1059,0,0,30197
37,24135,242,0,3697,134,1085,0,1059,0,0,30352
38,24212,242,0,3775,134,1085,0,1059,0,0,30507
39,24327,242,0,3776,134,1043,0,1059,0,0,30581
40,24402,242,0,3820,134,1043,0,1118,0,0,30759
41,24484,242,0,3825,134,1043,0,1118,0,0,30846
42,24328,242,0,3892,134,1043,0,1261,0,0,30900
43,23796,242,0,3889,134,1043,0,1262,0,0,30366
44,20836,104,0,4393,101,917,0,876,0,0,27227
