Version,JavaScript,Java,C++,C,C&C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Maven,Aggregate stats
9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,134,91,0,0,0,0,0,0,0,0,0,0,0,0,0,244
10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,134,91,0,0,0,0,0,0,0,0,0,0,0,0,0,244
11,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,134,96,0,0,9,0,0,0,0,0,0,0,0,0,0,258
12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,249,58,0,0,9,685,0,0,0,0,0,0,0,0,0,1009
13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,249,59,0,0,9,685,0,0,0,0,0,0,0,0,0,1010
14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,249,59,0,0,9,685,0,0,0,0,0,0,0,0,0,1010
15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,249,59,0,0,9,685,0,0,0,0,0,0,0,0,0,1010
17,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
20,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
21,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
23,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
24,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
26,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
27,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
29,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
30,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
31,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
32,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
33,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
34,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
35,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
36,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
37,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
38,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
39,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
40,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
41,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
42,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
43,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
44,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
45,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,257,16,0,0,9,685,0,0,0,0,0,0,0,0,0,975
