Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,26608,0,0,5803,0,1242,0,0,0,0,33653
6,27650,0,0,5824,0,1235,0,0,0,0,34709
7,28102,0,0,6475,0,1272,0,0,0,0,35849
8,30823,0,0,6836,0,1344,0,0,0,0,39003
9,31497,0,0,6914,0,1417,0,0,0,0,39828
10,31534,0,0,7030,0,1420,0,0,0,0,39984
11,33303,0,0,7053,0,1424,0,0,0,0,41780
12,34516,0,0,7362,0,2169,0,0,68,0,44115
13,36054,0,0,7643,0,2271,0,0,68,0,46036
14,36563,0,0,7719,0,2267,0,0,68,0,46617
15,36713,0,0,7983,0,2280,0,0,68,0,47044
17,37558,0,0,8342,0,2348,0,0,68,0,48316
18,38276,0,0,8469,0,2362,0,0,68,0,49175
19,38922,0,0,8490,0,2365,0,0,68,0,49845
20,39992,0,0,8671,0,2420,0,0,68,0,51151
21,41755,0,0,8715,0,2421,0,0,68,0,52959
22,43136,0,0,8928,0,2471,0,0,68,0,54603
23,45352,0,0,9008,0,2493,0,0,68,0,56921
24,47596,0,0,9002,0,2493,0,0,68,0,59159
25,48288,0,0,9033,0,2494,0,0,68,0,59883
26,45615,0,0,9073,0,2488,0,0,68,0,57244
27,45723,0,0,9104,0,2454,0,0,68,0,57349
28,43915,0,0,9265,0,2476,0,0,68,0,55724
29,45621,0,0,10187,0,2725,0,0,68,0,58601
30,45771,0,0,10248,0,2728,0,0,68,0,58815
31,45471,0,0,10356,0,2729,0,0,68,0,58624
32,46886,0,0,10402,0,2755,0,0,68,0,60111
33,47150,0,0,10647,0,2774,0,0,68,0,60639
34,47605,0,0,10854,0,2835,0,0,68,0,61362
35,48084,0,0,10883,0,2841,0,0,68,0,61876
36,48280,0,0,10987,0,2860,0,0,68,0,62195
37,47724,0,0,11253,0,2905,0,0,68,0,61950
38,60349,0,0,11424,4,2925,0,0,68,0,74770
39,60499,0,0,11556,4,2929,0,0,68,0,75056
40,60690,0,0,11659,4,3003,0,0,68,0,75424
41,61217,0,0,11675,4,3003,0,0,68,0,75967
42,61195,0,0,11669,4,2985,0,0,68,0,75921
43,77721,0,0,11706,4,3007,0,0,68,0,92506
44,73331,0,0,11872,4,3058,0,0,68,0,88333
45,75125,0,0,11926,4,3093,0,0,68,0,90216
46,61010,0,0,12139,0,3076,0,0,68,0,76293
47,61852,0,0,12217,0,3120,0,0,68,0,77257
48,63839,0,0,12593,0,3225,0,0,68,0,79725
49,64917,0,192,12701,58,3276,0,0,68,0,81212
50,60421,0,192,12772,58,3295,0,0,68,0,76806
51,60687,0,192,13191,58,3500,0,0,68,0,77696
52,71106,0,192,13547,58,3681,0,0,68,0,88652
53,71471,0,192,13535,58,3772,0,0,68,0,89096
54,91372,0,192,13815,58,3941,0,0,68,0,109446
55,92716,0,192,13968,58,3839,0,0,68,0,110841
56,108093,0,192,14116,58,3894,0,0,68,0,126421
57,118535,0,192,14346,58,3912,0,0,68,0,137111
58,119196,0,192,14619,58,3953,0,0,74,0,138092
59,126564,0,192,14727,58,3955,0,0,74,0,145570
60,125340,0,0,14048,0,3559,390,0,74,0,143411
61,211722,0,0,14838,0,6625,465,0,74,0,233724
62,218461,0,0,16132,0,7119,543,0,74,0,242329
63,201710,0,0,16323,0,7191,551,0,74,0,225849
64,207590,0,0,13361,0,2819,483,0,0,0,224253
65,210386,0,0,13445,0,2819,483,0,0,0,227133
