Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
45,19350,96,0,4349,101,901,0,876,0,0,25673
46,19603,96,0,4428,101,901,0,877,0,0,26006
47,19650,96,0,4414,101,901,0,877,0,0,26039
48,19891,96,0,4419,101,901,0,877,0,0,26285
49,20197,96,0,4442,101,901,0,877,0,0,26614
50,20742,96,0,4469,101,901,0,877,0,0,27186
51,21133,96,0,4462,101,901,0,877,0,0,27570
52,21152,96,0,4481,101,906,0,877,0,0,27613
53,21196,96,0,4481,101,906,0,877,0,0,27657
54,21483,96,0,4304,101,906,0,564,0,0,27454
55,21576,92,0,4428,101,821,0,571,0,0,27589
56,22394,92,0,4428,106,822,0,571,0,0,28413
57,23441,93,0,4428,106,831,0,576,0,0,29475
58,23761,93,0,4426,119,825,0,578,0,0,29802
59,24216,93,0,4460,119,829,0,578,0,0,30295
60,23710,101,43,5508,119,1288,30,599,0,0,31398
61,22569,97,43,5586,114,1291,30,670,0,0,30400
62,23091,208,0,5572,115,1279,30,677,0,0,30972
63,24210,235,0,5817,115,1315,41,684,0,0,32417
