Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,0,0,699,11690,0,2717,15106
6,0,0,699,12322,0,2906,15927
7,0,0,699,12723,0,3122,16544
8,0,0,699,12514,0,3129,16342
9,0,0,699,13166,0,3206,17071
10,0,0,703,13690,0,3346,17739
11,0,0,703,14016,0,3437,18156
12,0,0,1061,14219,0,3599,18879
13,0,0,1061,14054,0,3586,18701
14,0,0,1061,14159,0,3994,19214
15,0,0,1061,14766,0,4196,20023
17,0,0,1061,15203,0,4365,20629
18,0,0,1100,15955,0,4593,21648
19,0,0,1100,16078,0,4604,21782
20,0,0,1100,16297,0,4649,22046
21,0,0,1100,16409,0,4656,22165
22,0,0,1100,16798,0,4703,22601
23,0,0,1100,17143,0,4752,22995
24,0,0,1127,17244,0,4775,23146
25,0,0,1143,17293,0,4780,23216
26,0,0,1143,17446,0,4787,23376
27,0,0,1143,17759,0,4854,23756
28,0,0,1475,18248,0,4997,24720
29,0,0,1530,18326,0,5075,24931
30,0,0,1530,18415,0,5103,25048
31,0,0,1691,18942,0,5402,26035
32,0,0,1845,19015,0,5419,26279
33,0,0,2001,19220,0,5460,26681
34,0,0,1984,19359,0,5506,26849
35,0,0,2054,19356,0,5469,26879
36,0,0,2084,19573,0,5568,27225
37,0,0,2184,19799,0,5629,27612
38,0,0,2193,19945,0,5720,27858
39,0,0,2401,20120,0,5820,28341
40,0,0,2418,20028,0,5703,28149
41,0,0,0,20453,0,5465,25918
42,0,0,0,22528,0,5748,28276
43,0,0,0,23050,0,6020,29070
44,0,0,0,22405,0,5999,28404
45,0,0,0,22662,0,6152,28814
46,0,0,0,22776,0,6165,28941
47,0,0,0,23453,0,6364,29817
48,0,0,0,23513,0,6380,29893
49,0,0,0,23951,0,6580,30531
50,0,0,0,24378,0,6839,31217
51,0,0,0,24486,0,6809,31295
52,0,0,0,25576,0,7234,32810
53,0,0,0,25902,0,7255,33157
54,0,0,0,24189,0,7154,31343
55,0,0,0,24402,0,7073,31475
56,0,0,0,25987,0,7802,33789
57,0,0,0,27161,0,7982,35143
58,0,0,0,26733,0,8069,34802
59,0,0,0,27069,0,8142,35211
60,0,0,0,26853,0,8257,35110
61,0,0,0,28716,0,8341,37057
62,0,0,27,29806,0,8531,38364
63,0,0,27,31224,0,8724,39975
64,0,0,0,34260,0,11151,45411
65,0,0,0,34929,0,11329,46258
