Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
11,0,22165,3309,0,84,5956,31514
12,0,22781,3346,0,85,6141,32353
13,0,24107,3424,0,84,6232,33847
14,0,24613,3496,0,84,6240,34433
15,0,25817,3512,0,84,6056,35469
17,0,31049,3802,0,84,6320,41255
18,140,34203,4000,0,84,6184,44611
19,140,36341,4329,0,84,6420,47314
20,139,42159,4517,0,84,6543,53442
21,139,42268,4580,0,84,6658,53729
22,139,43414,4906,0,22,7925,56406
23,139,44175,5113,0,22,7989,57438
24,139,45778,5114,0,22,7988,59041
25,139,46452,5136,0,22,7991,59740
26,229,47552,5042,0,22,8017,60862
27,861,49032,6507,0,24,8343,64767
28,1182,53359,6520,0,24,8531,69616
29,1920,54927,6755,0,24,8460,72086
30,2111,56282,6758,0,24,8498,73673
31,2111,56504,6753,0,24,8552,73944
32,2137,56181,3768,0,24,7521,69631
33,2137,57576,3768,0,24,7536,71041
34,2137,58681,3766,0,24,7538,72146
35,2137,58960,3763,0,24,7538,72422
36,2137,59877,3763,0,24,7539,73340
37,2137,60538,3764,0,24,7545,74008
38,2137,60994,3845,0,24,7664,74664
39,2116,60915,4101,0,25,8600,75757
40,2136,59912,4128,0,25,8705,74906
41,2090,68981,4180,0,61,8618,83930
42,2141,70145,4049,0,61,8724,85120
43,2177,71308,4127,0,61,8723,86396
44,2157,72401,4191,0,61,8690,87500
45,2253,72804,4177,0,61,8651,87946
46,2263,73811,4461,0,61,8841,89437
47,2263,73697,4498,0,61,8789,89308
48,2263,74678,4486,0,61,8828,90316
49,2263,74764,4513,0,61,8804,90405
50,2263,76470,4554,0,61,8839,92187
51,2263,77405,4567,0,61,8858,93154
52,2263,78058,4524,0,61,8894,93800
53,2263,78274,4528,0,61,8862,93988
54,2263,79338,4651,0,61,9295,95608
55,2211,79661,4703,0,61,9205,95841
56,2334,82630,5171,0,61,9417,99613
57,2334,75082,5287,0,25,9395,92123
58,2594,75218,4604,0,25,9521,91962
59,2610,77862,5083,0,25,9769,95349
60,2617,78680,5904,0,25,10220,97446
61,2617,78554,6102,0,25,10413,97711
62,2567,84136,5173,0,25,6273,98174
63,2567,85978,6643,0,25,7227,102440
64,2567,83920,6169,0,25,7622,100303
65,2568,85668,5759,0,25,7054,101074
