Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,49868,0,699,18206,1907,4639,93,1015,950,168,77545
6,51338,0,699,18878,1937,4825,93,1057,949,168,79944
7,54991,0,699,20876,2590,5391,98,1034,952,174,86805
8,58935,0,699,21229,2873,5488,98,1034,957,174,91487
9,60522,0,699,22446,2909,5758,98,1034,957,174,94597
10,61300,0,703,23345,2844,5948,94,1010,965,189,96398
11,67687,22959,4012,23894,3604,11454,94,2066,869,470,137109
12,69972,23583,4407,24642,3532,21003,94,2249,971,469,150922
13,72775,24837,4485,24527,3944,21230,93,2090,971,469,155421
14,73640,24824,4557,24706,4132,22447,98,1985,1049,513,157951
15,74721,26028,4573,25603,4191,22905,98,1796,1063,513,161491
17,78630,31260,4863,26773,4733,23943,102,1875,1069,511,173759
18,80823,34384,5100,27782,4774,24194,102,1703,1169,708,180739
19,82408,36523,5429,27939,4866,24488,102,1706,1169,727,185357
20,85655,42341,5617,28441,5052,21788,102,1706,1199,728,192629
21,87238,42450,5680,28597,5144,21879,102,1706,1199,725,194720
22,84705,43537,6006,29569,5328,16735,102,1743,1199,776,189700
23,86361,44298,6213,30184,5370,16829,102,1776,1229,774,193136
24,89097,45922,6241,31120,5461,17148,104,1825,1228,785,198931
25,89876,46596,6279,31200,5865,17157,106,1836,1258,693,200866
26,88109,47696,8040,31217,5939,18036,106,1857,1258,700,202958
27,91598,49440,9605,31547,6134,19145,108,1411,1348,753,211089
28,89440,53767,10054,32294,6155,19886,108,1424,1348,753,215229
29,92704,55390,10793,33282,6282,20360,113,1425,1428,779,222556
30,93760,56745,10806,33431,6288,20409,113,1463,1430,780,225225
31,94354,56967,11192,33220,6348,20826,117,1427,1430,749,226630
32,107187,56644,9226,33358,6324,20040,117,1482,1430,734,236542
33,110882,58122,9390,33832,6555,20152,117,1536,1434,734,242754
34,113201,59227,9462,34213,6606,20185,112,1580,1569,740,246895
35,115254,59506,9678,34240,6706,20236,112,1580,1625,744,249681
36,116435,60423,9760,34673,6738,20403,112,1734,1703,792,252773
37,115906,61084,9936,35105,6750,20582,112,1734,1703,763,253675
38,128854,61546,11045,35500,6972,21481,112,1734,1735,763,269742
39,130462,61467,11703,35808,7027,22757,117,1734,1735,771,273581
40,149537,60464,14216,35863,7226,24154,127,1822,1735,771,295915
41,131452,69533,12300,36309,7298,23967,131,2007,1735,941,285673
42,133055,70695,12321,38445,7219,26384,154,2151,2136,1058,293618
43,150065,71858,12582,39001,7258,27083,167,2152,2121,1290,313577
44,141397,72813,11389,39026,7261,23522,167,1790,1771,1314,300450
45,143436,73208,11297,39293,8132,23573,283,1798,1939,1347,304306
46,105720,74215,11668,39699,8200,23705,282,1834,1956,1359,268638
47,106902,74095,11786,40440,8357,23976,292,1802,1969,1364,270983
48,109068,75076,11521,40624,8546,23393,305,1834,1969,1388,273724
49,111288,75166,11842,41193,8712,23657,310,1802,1991,1414,277375
50,107999,76872,12117,41718,9576,24122,312,1814,1991,1438,277959
51,108448,77807,12268,42238,9828,24229,312,1814,1991,1556,280491
52,110695,78460,12172,43703,2107,24825,324,1854,68,1486,275694
53,111070,78676,12759,44017,2107,25102,325,1822,68,1487,277433
54,131923,79740,13210,42407,820,25429,301,1940,68,1482,297320
55,132675,80059,13612,42891,818,25104,302,1947,68,1518,298994
56,150788,83028,17337,45054,793,30251,409,1991,68,1596,331315
57,162314,75481,17918,46538,737,31682,409,1992,68,1547,338686
58,163719,75659,18500,46598,583,34757,451,2026,74,1724,344091
59,162122,78003,20395,47750,471,36287,458,1999,74,1780,349339
60,163387,78833,28983,48348,588,41753,1288,2088,74,1575,366917
61,256684,79108,31443,51214,602,46019,1359,2186,74,1550,470239
62,266296,85004,33150,53831,662,44913,1486,2114,74,1557,489087
63,251474,86873,37841,56016,673,48684,1535,2114,74,1500,486784
64,262718,87189,44756,56492,677,51551,2219,1966,0,1706,509274
65,269273,88947,49655,57457,677,54074,1901,1975,0,1714,525673
