Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
20,208,0,0,0,20,45,273
21,208,0,0,0,20,45,273
22,214,0,0,0,20,45,279
23,214,0,0,0,20,45,279
24,218,0,0,0,20,45,283
25,220,0,0,0,20,46,286
26,220,0,0,0,20,46,286
27,226,0,0,0,20,47,293
28,228,0,0,0,20,48,296
29,228,0,0,0,20,48,296
30,228,0,0,0,20,48,296
31,228,0,0,0,20,48,296
32,228,0,0,0,20,48,296
33,228,0,0,0,20,48,296
34,228,0,0,0,20,48,296
35,228,0,0,0,20,48,296
36,228,0,0,0,20,48,296
37,228,0,0,0,20,48,296
38,228,0,0,0,20,48,296
39,228,0,0,0,20,48,296
40,230,0,0,0,20,48,298
41,230,0,0,0,20,48,298
42,230,0,0,0,20,48,298
43,230,0,0,0,20,48,298
44,230,0,0,0,20,48,298
45,230,0,0,0,20,48,298
46,232,0,0,0,20,48,300
47,328,0,0,0,20,48,396
48,354,0,0,0,20,48,422
49,289,0,0,0,20,50,359
50,289,0,0,0,20,50,359
51,292,0,0,0,20,51,363
52,264,0,0,0,20,51,335
53,264,0,0,0,20,51,335
54,286,0,0,0,20,51,357
55,285,0,0,0,20,51,356
56,301,0,0,0,20,46,367
