Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
17,1,0,0,0,9,0,0,0,0,0,10
18,215,0,0,0,9,0,0,0,0,0,224
19,215,0,0,0,9,0,0,0,0,0,224
20,215,0,0,0,9,0,0,0,0,0,224
21,215,0,0,0,9,0,0,0,0,0,224
22,215,0,0,0,9,0,0,0,0,0,224
23,219,0,0,0,9,0,0,0,0,0,228
24,219,0,0,0,9,0,0,0,0,0,228
25,219,0,0,0,9,0,0,0,0,0,228
26,219,0,0,0,9,0,0,0,0,0,228
27,219,0,0,0,9,0,0,0,0,0,228
28,219,0,0,0,9,0,0,0,0,0,228
29,219,0,0,0,9,0,0,0,0,0,228
30,219,0,0,0,9,0,0,0,0,0,228
31,219,0,0,0,9,0,0,0,0,0,228
32,219,0,0,0,9,0,0,0,0,0,228
33,219,0,0,0,9,0,0,0,0,0,228
34,219,0,0,0,9,0,0,0,0,0,228
35,219,0,0,0,9,0,0,0,0,0,228
36,219,0,0,0,9,0,0,0,0,0,228
37,219,0,0,0,9,0,0,0,0,0,228
38,219,0,0,0,9,0,0,0,0,0,228
39,219,0,0,0,9,0,0,0,0,0,228
40,219,0,0,0,9,0,0,0,0,0,228
41,219,0,0,0,9,0,0,0,0,0,228
42,219,0,0,0,9,0,0,0,0,0,228
43,219,0,0,0,9,0,0,0,0,0,228
44,219,0,0,0,9,0,0,0,0,0,228
45,227,0,0,0,9,0,0,0,0,0,236
46,227,0,0,0,9,0,0,0,0,0,236
47,227,0,0,0,9,0,0,0,0,0,236
48,227,0,0,0,9,0,0,0,0,0,236
49,227,0,0,0,9,0,0,0,0,0,236
50,227,0,0,0,9,0,0,0,0,0,236
51,227,0,0,0,9,0,0,0,0,0,236
52,227,0,0,0,9,0,0,0,0,0,236
53,227,0,0,0,9,0,0,0,0,0,236
54,348,0,0,0,20,26,0,0,0,0,394
55,312,0,0,0,20,26,0,0,0,0,358
56,314,0,0,0,12,26,0,0,0,0,352
57,314,0,0,0,12,26,0,0,0,0,352
58,85,0,0,0,12,26,0,0,0,0,123
59,86,0,0,0,12,26,0,0,0,0,124
60,86,0,0,0,12,26,0,0,0,0,124
61,381,0,0,0,16,29,0,0,0,0,426
62,381,0,0,0,16,29,0,0,0,0,426
63,794,0,0,0,16,30,0,0,0,0,840
64,794,0,0,0,16,30,0,0,0,0,840
65,806,0,0,0,16,30,0,0,0,0,852
