Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
37,216,0,0,0,0,0,0,0,0,0,216
38,237,0,0,0,0,0,0,0,0,0,237
39,238,0,0,0,0,0,0,0,0,0,238
40,248,0,0,0,0,0,0,0,0,0,248
41,246,0,0,0,0,0,0,0,0,0,246
42,255,0,0,0,0,0,0,0,0,0,255
43,253,0,0,0,0,0,0,0,0,0,253
44,261,0,0,0,0,0,0,0,0,0,261
45,287,0,0,0,0,0,0,0,0,0,287
46,313,0,0,0,0,0,0,0,0,0,313
47,332,0,0,0,0,0,0,0,0,0,332
48,342,0,0,0,0,0,0,0,0,0,342
49,380,0,0,0,0,0,0,0,0,0,380
50,415,0,0,0,0,0,0,0,0,0,415
51,419,0,0,0,0,0,0,0,0,0,419
52,444,0,0,0,0,0,0,0,0,0,444
53,444,0,0,0,0,0,0,0,0,0,444
54,445,0,0,0,0,0,0,0,0,0,445
55,437,0,0,0,0,0,0,0,0,0,437
56,609,0,0,0,0,0,0,0,0,0,609
57,709,0,0,0,0,0,0,0,0,0,709
58,766,0,0,0,0,0,0,0,0,0,766
59,788,0,0,0,0,0,0,0,0,0,788
60,738,0,0,0,0,0,0,0,0,0,738
61,577,0,0,0,0,0,0,0,0,0,577
62,573,0,0,0,0,0,0,0,0,0,573
63,613,0,0,0,0,0,0,0,0,0,613
64,621,0,0,0,0,0,0,0,0,0,621
65,650,0,0,0,0,0,0,0,0,0,650
