Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,99,0,0,0,0,0,0,0,0,0,99
6,99,0,0,0,0,0,0,0,0,0,99
7,97,0,0,0,0,0,0,0,0,0,97
8,97,0,0,0,0,0,0,0,0,0,97
9,97,0,0,0,0,0,0,0,0,0,97
10,97,0,0,0,0,0,0,0,0,0,97
11,97,0,0,0,0,0,0,0,0,0,97
12,67,0,0,0,0,0,0,0,0,0,67
13,67,0,0,0,0,0,0,0,0,0,67
14,37,0,0,0,0,0,0,0,0,0,37
15,37,0,0,0,0,0,0,0,0,0,37
17,38,0,0,0,0,0,0,0,0,0,38
18,43,0,0,0,0,0,0,0,0,0,43
19,44,0,0,0,0,0,0,0,0,0,44
20,45,0,0,0,0,0,0,0,0,0,45
21,45,0,0,0,0,0,0,0,0,0,45
22,45,0,0,0,0,0,0,0,0,0,45
23,45,0,0,0,0,0,0,0,0,0,45
24,45,0,0,0,0,0,0,0,0,0,45
25,45,0,0,0,0,0,0,0,0,0,45
26,45,0,0,0,0,0,0,0,0,0,45
27,45,0,0,0,0,0,0,0,0,0,45
28,45,0,0,0,0,0,0,0,0,0,45
29,45,0,0,0,0,0,0,0,0,0,45
30,45,0,0,0,0,0,0,0,0,0,45
31,56,0,0,0,0,0,0,0,0,0,56
32,68,0,0,0,0,0,0,0,0,0,68
33,68,0,0,0,0,0,0,0,0,0,68
34,68,0,0,0,0,0,0,0,0,0,68
35,68,0,0,0,0,0,0,0,0,0,68
36,68,0,0,0,0,0,0,0,0,0,68
37,12,0,0,0,0,0,0,0,0,0,0
38,12,0,0,0,0,0,0,0,0,0,0
