Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
27,126,0,0,0,0,0,126
28,126,0,0,0,0,0,126
29,126,0,0,0,0,0,126
30,126,0,0,0,0,0,126
31,126,0,0,0,0,0,126
32,126,0,0,0,0,0,126
33,126,0,0,0,0,0,126
34,126,0,0,0,0,0,126
35,126,0,0,0,0,0,126
36,126,0,0,0,0,0,126
37,126,0,0,0,0,0,126
38,126,0,0,0,0,0,126
39,126,0,0,0,0,0,126
40,126,0,0,0,0,0,126
41,126,0,0,0,0,0,126
42,126,0,0,0,0,0,126
43,126,0,0,0,0,0,126
44,126,0,0,0,0,0,126
45,126,0,0,0,0,0,126
46,126,0,0,0,0,0,126
47,126,0,0,0,0,0,126
48,126,0,0,0,0,0,126
49,126,0,0,0,0,0,126
50,126,0,0,0,0,0,126
51,126,0,0,0,0,0,126
52,126,0,0,0,0,0,126
53,126,0,0,0,0,0,126
54,126,0,0,0,0,0,126
55,108,0,0,0,0,0,108
56,117,0,0,0,0,0,117
57,117,0,0,0,0,0,117
58,117,0,0,0,0,0,117
59,117,0,0,0,0,0,117
60,117,0,0,0,0,0,117
