Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,368,0,0,0,0,0,0,0,0,0,368
6,368,0,0,0,0,0,0,0,0,0,368
7,424,0,0,0,0,0,0,0,0,0,424
8,427,0,0,0,0,0,0,0,0,0,427
9,432,0,0,0,0,0,0,0,0,0,432
10,418,0,0,0,0,0,0,0,0,0,418
11,973,55,0,120,0,176,0,254,0,144,1722
12,1028,63,0,120,0,176,0,254,0,144,1785
13,1078,63,0,120,0,209,0,254,0,144,1868
14,811,63,0,116,0,323,0,254,0,151,1718
15,3011,63,0,116,0,483,0,255,0,151,4079
17,3215,63,0,116,0,490,0,255,0,151,4290
18,3570,33,0,116,0,542,0,255,0,151,4667
19,3950,34,0,116,0,542,0,255,0,151,5048
20,3816,34,0,116,0,543,0,255,0,151,4915
21,3832,34,0,116,0,511,0,255,0,152,4900
22,3984,34,0,118,0,511,0,255,0,152,5054
23,4222,34,0,118,0,511,0,255,0,152,5292
24,4232,34,0,118,0,439,0,261,0,152,5236
25,4248,34,0,118,0,437,0,261,0,152,5250
26,4145,34,0,118,0,437,0,261,0,152,5147
27,7131,298,0,119,0,644,0,265,0,152,8609
28,7172,298,0,119,0,663,0,271,0,152,8675
29,7271,304,0,100,0,664,0,272,0,152,8763
30,7398,304,0,99,0,664,0,272,0,152,8889
31,7241,304,0,99,0,664,0,272,0,152,8732
32,7459,304,0,99,0,664,0,272,0,152,8950
33,10223,304,0,99,0,686,0,272,0,152,11736
34,10890,304,0,99,0,558,0,272,0,152,12275
35,11111,304,0,99,0,565,0,272,0,152,12503
36,11285,304,0,99,0,565,0,272,0,152,12677
37,11393,304,0,99,0,565,0,272,0,152,12785
38,11464,310,0,99,0,578,0,272,0,152,12875
39,11965,310,0,99,0,578,0,272,0,152,13376
40,30367,310,0,99,0,1429,0,289,0,152,32646
41,11052,310,0,99,0,1433,0,474,0,152,13520
42,11876,308,0,99,59,1470,0,475,0,152,14439
43,12339,308,0,99,59,1470,0,475,0,152,14902
44,10681,308,0,99,59,656,0,487,0,152,12442
45,10626,308,0,99,59,664,0,487,0,152,12395
46,10296,308,0,99,59,664,0,490,0,153,12069
47,10480,302,0,99,59,678,0,490,0,153,12261
48,10103,302,0,99,59,681,0,490,0,153,11887
49,10907,306,0,99,59,684,0,490,0,153,12698
50,11637,306,0,99,59,703,0,490,0,153,13447
51,11397,306,0,99,59,703,0,490,0,153,13207
52,11356,306,0,99,59,700,0,490,0,153,13163
53,11367,306,0,99,59,700,0,490,0,153,13174
54,11988,306,0,99,59,700,0,485,0,153,13790
55,11495,306,0,93,59,694,0,485,0,151,13283
56,12208,306,0,93,59,682,0,485,0,151,13984
57,12411,306,0,97,59,676,0,513,0,158,14220
58,11931,348,0,93,34,717,0,514,0,158,13795
59,14,0,0,0,0,0,0,0,0,0,0
60,14,0,0,0,0,0,0,0,0,0,0
61,14,0,0,0,0,0,0,0,0,0,0
62,14,0,0,0,0,0,0,0,0,0,0
63,14,0,0,0,0,0,0,0,0,0,0
64,14,0,0,0,0,0,0,0,0,0,0
65,14,0,0,0,0,0,0,0,0,0,0
