Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,8368,0,0,0,102,183,0,0,96,29,8778
6,8448,0,0,0,102,183,0,0,96,29,8858
7,10838,0,0,0,102,184,0,0,96,29,11249
8,10986,0,0,0,102,186,0,0,96,29,11399
9,11008,0,0,0,102,196,0,0,96,29,11431
10,11494,0,0,0,102,244,0,0,96,43,11979
11,13433,0,0,0,102,202,0,0,0,29,13766
12,13915,0,0,0,102,193,0,0,0,29,14239
13,14388,0,0,0,107,196,0,0,0,29,14720
14,14094,0,0,0,107,196,0,0,0,66,14463
15,13632,0,0,0,107,36,0,0,0,66,13841
17,14997,0,0,0,107,36,0,0,0,64,15204
18,15315,0,0,0,110,36,0,0,0,70,15531
19,15545,0,0,0,110,36,0,0,0,88,15779
20,16799,0,0,0,110,40,0,0,0,88,17037
21,15427,0,0,0,110,40,0,0,0,88,15665
22,8890,0,0,0,110,40,0,0,0,88,9128
23,7670,0,0,0,110,40,0,0,0,88,7908
24,7738,0,0,0,110,40,0,0,0,88,7976
25,7041,0,0,0,110,40,0,0,0,88,7279
26,7174,0,0,0,110,51,0,0,0,89,7424
27,7268,0,0,0,110,51,0,0,0,89,7518
28,7522,0,0,0,110,51,0,0,0,89,7772
29,7550,0,0,0,108,51,0,0,0,97,7806
30,7560,0,0,0,108,51,0,0,0,97,7816
31,7605,0,0,0,108,51,0,0,0,99,7863
32,18566,0,0,0,108,51,0,0,0,99,18824
33,18790,0,0,0,108,51,0,0,0,99,19048
34,18929,0,0,0,108,51,0,0,0,105,19193
35,19883,0,0,0,108,51,0,0,0,105,20147
36,20421,0,0,0,108,51,0,0,0,108,20688
37,19945,0,0,0,108,52,0,0,0,108,20213
38,19955,0,0,0,108,52,0,0,0,108,20223
39,20703,0,0,0,108,25,0,0,0,108,20944
40,20613,0,0,0,113,25,0,0,0,108,20859
41,21243,0,0,0,113,26,0,0,0,108,21490
42,22184,0,0,0,115,27,0,0,0,108,22434
43,22568,0,0,0,115,64,0,0,0,108,22855
44,22874,0,0,0,115,64,0,0,0,108,23161
45,24072,0,0,0,217,91,0,0,0,112,24492
