Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,129,0,0,0,0,12,141
6,137,0,0,0,0,12,149
7,137,0,0,0,6,12,155
8,137,0,0,0,6,12,155
9,137,0,0,0,6,12,155
10,127,0,0,0,6,12,145
11,127,0,0,0,66,15,208
12,157,0,0,0,70,15,242
13,185,0,0,0,64,15,264
14,210,0,0,0,64,20,294
15,211,0,0,0,75,20,306
17,211,0,0,0,75,25,311
18,213,0,0,0,75,25,313
19,215,0,0,0,75,25,315
20,215,0,0,0,75,25,315
21,215,0,0,0,75,25,315
22,215,0,0,0,75,25,315
23,239,0,0,0,75,26,340
24,239,0,0,0,75,26,340
25,239,0,0,0,75,26,340
26,239,0,0,0,76,26,341
27,239,0,0,0,76,26,341
28,239,0,0,0,76,26,341
29,239,0,0,0,76,26,341
30,239,0,0,0,76,26,341
31,239,0,0,0,76,26,341
32,239,0,0,0,76,26,341
33,240,0,0,0,76,26,342
34,240,0,0,0,76,26,342
35,240,0,0,0,76,26,342
36,240,0,0,0,76,26,342
37,288,0,0,0,76,26,390
38,288,0,0,0,76,26,390
39,306,0,0,0,76,26,408
40,300,0,0,0,76,26,402
41,300,0,0,0,76,26,402
42,303,0,0,0,76,26,405
43,303,0,0,0,76,26,405
44,303,0,0,0,76,26,405
45,303,0,0,0,76,26,405
46,306,0,0,0,76,26,408
47,306,0,0,0,76,26,408
48,306,0,0,0,76,26,408
49,306,0,0,0,76,26,408
50,306,0,0,0,76,26,408
51,306,0,0,0,76,26,408
52,306,0,0,0,76,26,408
53,306,0,0,0,76,26,408
54,306,0,0,0,76,26,408
55,304,0,0,0,76,26,406
56,313,0,0,0,76,26,415
57,313,0,0,0,76,26,415
58,316,0,0,0,79,26,421
