Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,4676,0,0,0,26,921,5623
6,4677,0,0,0,26,920,5623
7,4678,0,0,0,26,923,5627
8,4700,0,0,0,26,928,5654
9,4723,0,0,0,26,928,5677
10,4759,0,0,0,26,934,5719
11,4895,0,0,0,26,965,5886
12,5193,0,0,0,26,999,6218
13,5219,0,0,0,26,999,6244
14,5338,0,0,0,26,1077,6441
15,5416,0,0,0,26,1091,6533
17,5544,0,0,0,26,1097,6667
18,5837,0,0,0,16,1147,7000
19,5881,0,0,0,16,1147,7044
20,6022,0,0,0,16,1177,7215
21,6043,0,0,0,16,1177,7236
22,6438,0,0,0,16,1176,7630
23,6520,0,0,0,16,1206,7742
24,6588,0,0,0,16,1205,7809
25,6767,0,0,0,16,1235,8018
26,6919,0,0,0,16,1235,8170
27,7042,0,0,0,16,1325,8383
28,7102,0,0,0,24,1325,8451
29,6663,0,0,0,24,1439,8126
30,6688,0,0,0,24,1441,8153
31,6732,0,0,0,24,1441,8197
32,6752,0,0,0,24,1441,8217
33,6762,0,0,0,24,1445,8231
34,6988,0,0,0,24,1580,8592
35,7253,0,0,0,24,1640,8917
36,7523,0,0,0,24,1718,9265
37,7534,0,0,0,24,1718,9276
38,7667,0,0,0,24,1752,9443
39,7720,0,0,0,24,1752,9496
40,7720,0,0,0,24,1752,9496
41,7745,0,0,0,24,1752,9521
42,7363,0,0,0,24,4170,11557
43,7363,0,0,0,24,4371,11758
44,7407,0,0,0,24,1983,9414
45,7768,0,0,0,24,2161,9953
46,8203,0,0,0,24,2178,10405
47,8218,0,0,0,21,2200,10439
48,8292,0,0,0,21,2196,10509
49,8293,0,0,0,21,2225,10539
50,8164,0,0,0,21,2227,10412
51,8161,0,0,0,21,2227,10409
