Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
43,153,0,0,0,0,152,0,0,0,361,666
44,161,0,0,0,0,169,0,0,0,362,692
45,163,0,0,0,0,175,0,0,0,366,704
46,163,0,0,0,0,175,0,0,0,366,704
47,163,0,0,0,0,174,0,0,0,365,702
48,163,0,0,0,0,174,0,0,0,365,702
49,163,0,0,0,0,174,0,0,0,365,702
50,163,0,0,0,0,174,0,0,0,365,702
51,163,0,0,0,0,174,0,0,0,365,702
52,163,0,0,0,0,174,0,0,0,365,702
53,162,0,0,0,0,146,0,0,0,365,673
54,162,0,0,0,0,146,0,0,0,365,673
55,160,0,0,0,0,146,0,0,0,365,671
56,160,0,0,0,0,159,0,0,0,365,684
57,160,0,0,0,0,159,0,0,0,365,684
58,159,0,0,0,0,174,0,0,0,406,739
59,159,0,0,0,0,67,0,0,0,406,632
