Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,9495,0,0,701,0,1193,11389
6,9933,0,0,724,0,1193,11850
7,11545,0,0,2061,0,1738,15344
8,12654,0,0,2294,107,1751,16806
9,13575,0,0,2721,107,1751,18154
10,13852,0,0,3027,107,1727,18713
11,15967,266,0,3139,107,1979,21458
12,15940,266,0,3286,107,2030,21629
13,16118,178,0,2970,189,1737,21192
14,16162,178,0,2973,189,1771,21273
15,16831,178,0,3006,189,1771,21975
17,17082,178,0,3473,191,1821,22745
18,17224,178,0,3622,191,1827,23042
19,17526,178,0,3641,191,1827,23363
20,18254,178,0,3754,191,1768,24145
21,19482,178,0,3754,191,1768,25373
22,21554,105,0,4222,191,1783,27855
23,21783,105,0,4461,191,1783,28323
24,22151,130,0,4537,191,1998,29007
25,22419,130,0,4537,221,2011,29318
26,23031,130,0,4333,221,2011,29726
27,22344,130,0,4315,221,2011,29021
28,21229,130,0,4435,221,2018,28033
29,22462,188,0,4447,221,2020,29338
30,23059,188,0,4447,221,2020,29935
31,24023,188,0,4361,221,2020,30813
32,24277,188,0,4385,221,2020,31091
33,24730,286,0,4411,221,2098,31746
34,25639,286,0,4453,221,2163,32762
35,25697,286,0,4454,221,2163,32821
36,25698,286,0,4581,221,2326,33112
37,25894,286,0,4508,221,2354,33263
38,25981,286,0,4610,221,2354,33452
39,26103,286,0,4610,221,2312,33532
40,26180,286,0,4675,221,2371,33733
41,26260,286,0,4681,221,2371,33819
42,26098,286,0,4763,221,2514,33882
43,25449,286,0,4760,221,2515,33231
44,22227,124,0,5365,164,1974,29854
