Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,29538,0,0,7004,0,1555,0,0,0,0,38097
6,30679,0,0,7013,0,1547,0,0,0,0,39239
7,31202,0,0,7802,0,1593,0,0,0,0,40597
8,34379,0,0,8228,0,1682,0,0,0,0,44289
9,35160,0,0,8352,0,1773,0,0,0,0,45285
10,35229,0,0,8478,0,1780,0,0,0,0,45487
11,37205,0,0,8508,0,1784,0,0,0,0,47497
12,38564,0,0,8877,0,2626,0,0,81,0,50148
13,40300,0,0,9214,0,2747,0,0,81,0,52342
14,40909,0,0,9304,0,2742,0,0,81,0,53036
15,41112,0,0,9614,0,2763,0,0,81,0,53570
17,42050,0,0,10051,0,2843,0,0,81,0,55025
18,42888,0,0,10192,0,2859,0,0,81,0,56020
19,43591,0,0,10214,0,2864,0,0,81,0,56750
20,44737,0,0,10412,0,2930,0,0,81,0,58160
21,46682,0,0,10460,0,2931,0,0,81,0,60154
22,48368,0,0,10717,0,2992,0,0,81,0,62158
23,50847,0,0,10810,0,3020,0,0,81,0,64758
24,53305,0,0,10797,0,3020,0,0,81,0,67203
25,54085,0,0,10836,0,3022,0,0,81,0,68024
26,51085,0,0,10884,0,3015,0,0,81,0,65065
27,51129,0,0,10905,0,2972,0,0,81,0,65087
28,49140,0,0,11083,0,2998,0,0,81,0,63302
29,50923,0,0,12146,0,3328,0,0,81,0,66478
30,51076,0,0,12218,0,3331,0,0,81,0,66706
31,50688,0,0,12334,0,3331,0,0,81,0,66434
32,52225,0,0,12404,0,3363,0,0,81,0,68073
33,52509,0,0,12700,0,3391,0,0,81,0,68681
34,53012,0,0,12945,0,3472,0,0,81,0,69510
35,53527,0,0,12975,0,3478,0,0,81,0,70061
36,53753,0,0,13097,0,3504,0,0,81,0,70435
37,53130,0,0,13419,0,3561,0,0,81,0,70191
38,67255,0,0,13631,5,3589,0,0,81,0,84561
39,67437,0,0,13790,5,3592,0,0,81,0,84905
40,67649,0,0,13939,5,3709,0,0,81,0,85383
41,68231,0,0,13957,5,3709,0,0,81,0,85983
42,68197,0,0,13946,5,3683,0,0,81,0,85912
43,86914,0,0,14001,5,3716,0,0,81,0,104717
44,81731,0,0,14212,5,3781,0,0,81,0,99810
45,83674,0,0,14265,5,3825,0,0,81,0,101850
46,67259,0,0,14552,0,3817,0,0,81,0,85709
47,68109,0,0,14639,0,3879,0,0,81,0,86708
48,70346,0,0,15107,0,4032,0,0,81,0,89566
49,70988,0,210,15236,75,4090,0,0,81,0,90680
50,66309,0,210,15312,75,4114,0,0,81,0,86101
51,66604,0,210,15874,75,4420,0,0,81,0,87264
52,77973,0,210,16314,75,4658,0,0,81,0,99311
53,78365,0,210,16306,75,4787,0,0,81,0,99824
54,99695,0,210,16744,75,5047,0,0,81,0,121852
55,101178,0,210,16968,75,4978,0,0,81,0,123490
56,117310,0,210,17147,75,5047,0,0,81,0,139870
57,128305,0,210,17391,75,5071,0,0,81,0,151133
58,129244,0,210,17702,75,5120,0,0,88,0,152439
59,137088,0,210,17843,75,5121,0,0,88,0,160425
60,135645,0,0,17003,0,4658,455,0,88,0,157849
61,226583,0,0,18654,0,8160,542,0,88,0,254027
62,240698,0,0,20226,0,8632,628,0,88,0,270272
63,221899,0,0,20453,0,8720,636,0,88,0,251796
64,228651,0,0,16137,0,3732,556,0,0,0,249076
65,231474,0,0,16233,0,3731,556,0,0,0,251994
