Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
45,20721,116,0,5350,164,1073,0,885,0,0,28309
46,20992,116,0,5443,164,1073,0,886,0,0,28674
47,21041,116,0,5427,164,1073,0,886,0,0,28707
48,21291,116,0,5433,164,1073,0,886,0,0,28963
49,21598,116,0,5460,164,1073,0,886,0,0,29297
50,22166,116,0,5489,164,1073,0,886,0,0,29894
51,22577,116,0,5482,164,1073,0,886,0,0,30298
52,22595,116,0,5502,164,1078,0,886,0,0,30341
53,22639,116,0,5502,164,1078,0,886,0,0,30385
54,22930,116,0,5268,164,1078,0,573,0,0,30129
55,23047,112,0,5421,164,974,0,580,0,0,30298
56,23942,112,0,5421,172,975,0,580,0,0,31202
57,25042,113,0,5421,172,985,0,584,0,0,32317
58,25473,113,0,5416,195,980,0,586,0,0,32763
59,25910,113,0,5458,195,985,0,586,0,0,33247
60,25329,121,48,6716,195,1526,35,609,0,0,34579
61,24153,111,48,6805,186,1529,35,680,0,0,33547
62,24708,232,0,6788,186,1517,35,688,0,0,34154
63,25887,265,0,7097,186,1566,47,695,0,0,35743
