Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
11,0,25691,3903,0,131,6455,0,695,0,153,37028
12,0,26456,3944,0,132,6461,0,903,0,152,38048
13,0,28028,4031,0,131,6553,0,919,0,152,39814
14,0,28628,4116,0,131,6558,0,923,0,152,40508
15,0,30063,4133,0,131,6564,0,704,0,152,41747
17,0,36227,4466,0,131,6667,0,915,0,152,48558
18,166,39931,4695,0,131,6714,0,714,0,152,52503
19,166,42454,5107,0,131,7002,0,718,0,156,55734
20,165,49374,5321,0,131,7145,0,718,0,156,63010
21,165,49509,5396,0,131,7284,0,718,0,156,63359
22,165,50834,5757,0,33,8719,0,744,0,152,66404
23,165,51707,5999,0,33,8769,0,782,0,152,67607
24,165,53560,6000,0,33,8767,0,782,0,153,69460
25,165,54346,6031,0,33,8770,0,782,0,153,70280
26,262,55594,5929,0,33,8776,0,807,0,153,71554
27,978,57384,7697,0,37,9769,0,327,0,153,76345
28,1321,62414,7733,0,37,10019,0,327,0,153,82004
29,2120,64230,8013,0,37,10027,0,325,0,54,84806
30,2323,65808,8016,0,37,10027,0,363,0,54,86628
31,2323,66059,8014,0,37,10136,0,363,0,19,86951
32,2378,65673,4494,0,37,8796,0,418,0,0,81796
33,2378,67281,4494,0,37,8798,0,431,0,0,83419
34,2378,68521,4491,0,37,8800,0,431,0,0,84658
35,2378,68846,4488,0,37,8800,0,431,0,0,84980
36,2378,69878,4488,0,37,8800,0,432,0,0,86013
37,2378,70691,4489,0,37,8807,0,432,0,0,86834
38,2378,71231,4591,0,37,8974,0,432,0,0,87643
39,2352,71140,4895,0,38,10053,0,432,0,0,88910
40,2377,69981,4924,0,38,10179,0,450,0,0,87949
41,2323,80441,4979,0,87,10061,0,450,0,0,98341
42,2383,81864,4818,0,87,10203,0,450,0,0,99805
43,2424,83212,4894,0,87,10203,0,450,0,0,101270
44,2399,84404,4966,0,87,10139,0,463,0,0,102458
45,2505,84895,4936,0,87,10074,0,472,0,0,102969
46,2515,86093,5287,0,87,10276,0,505,0,0,104763
47,2515,85914,5327,0,87,10253,0,472,0,0,104568
48,2515,87065,5312,0,87,10262,0,505,0,0,105746
49,2515,87049,5352,0,87,10280,0,472,0,0,105755
50,2515,88983,5405,0,87,10311,0,488,0,0,107789
51,2515,90044,5421,0,87,10336,0,488,0,0,108891
52,2515,90870,5373,0,87,10329,0,529,0,0,109703
53,2515,91116,5377,0,87,10329,0,496,0,0,109920
54,2515,92302,5506,0,87,10324,0,1008,0,0,111742
55,2463,92860,5565,0,87,10234,0,1008,0,0,112217
56,2580,96335,6152,0,87,10464,0,1054,0,0,116672
57,2580,87556,6272,0,38,10443,0,1048,0,0,107937
58,2885,87690,5459,0,38,10562,0,1065,0,0,107699
59,2903,90802,6065,0,38,10911,0,1062,0,0,111781
60,2918,91827,6982,0,38,11370,0,1143,0,0,114278
61,2922,90929,7235,0,38,11616,0,1147,0,0,113887
62,2865,97966,6029,0,38,6449,0,1148,0,0,114495
63,2865,100124,8601,0,38,7588,0,1149,0,0,120365
64,2865,97634,7163,0,38,8106,0,1133,0,0,116939
65,2866,99743,6713,0,38,7395,0,1137,0,0,117892
