Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
26,0,0,2380,0,0,1236,0,0,0,0,3616
27,0,0,2473,0,0,1361,0,0,0,0,3834
28,0,0,2604,0,0,1810,0,0,0,0,4414
29,0,0,3077,0,0,1908,0,0,0,0,4985
30,0,0,3093,0,0,1930,0,0,0,0,5023
31,0,0,3369,0,0,2100,0,0,0,0,5469
32,0,0,4308,0,0,2251,0,0,0,0,6559
33,0,0,4316,0,0,2251,0,0,0,0,6567
34,0,0,4422,0,0,2280,0,0,0,0,6702
35,0,0,4592,0,0,2280,0,0,0,0,6872
36,0,0,4655,0,0,2314,0,0,0,0,6969
37,0,0,4750,0,0,2364,0,0,0,0,7114
38,0,0,6031,0,17,3200,0,0,0,0,9248
39,0,0,9027,0,17,3939,0,0,0,0,12983
40,0,0,9212,0,17,4265,0,0,0,0,13494
41,0,0,9609,0,17,4351,0,0,0,0,13977
42,0,0,9785,0,17,4342,44,0,0,0,14188
43,0,0,9976,0,17,4342,44,0,0,0,14379
44,0,0,8399,0,0,3528,44,0,0,0,11971
45,0,0,8277,0,0,3380,44,0,0,0,11701
46,0,0,8361,0,0,3434,44,0,0,0,11839
47,0,0,8454,0,0,3473,44,0,0,0,11971
48,0,0,8162,0,0,3455,44,0,0,0,11661
49,0,0,8278,0,0,3491,44,0,0,0,11813
50,0,0,8559,0,0,3664,44,0,0,0,12267
51,0,0,8706,0,0,3676,44,0,0,0,12426
52,0,0,8619,0,0,3991,44,0,0,0,12654
53,0,0,9282,0,0,4186,44,0,0,0,13512
54,0,0,9628,0,0,4299,44,0,0,0,13971
55,0,0,10052,0,0,4370,44,0,0,0,14466
56,0,0,14108,673,0,9673,48,0,0,0,24502
57,0,0,14619,773,0,11214,48,0,0,0,26654
58,0,0,15939,891,0,13996,53,0,0,0,30879
59,0,0,17622,1648,0,16084,53,0,0,0,35407
60,2252,0,27245,2215,113,22013,609,0,0,95,54542
61,2298,0,29889,2318,113,22794,541,0,0,95,58048
62,2300,0,32907,2620,113,25555,552,0,0,91,64138
63,2297,0,36659,3031,113,28375,579,0,0,90,71144
64,2305,277,45034,3413,113,33039,747,0,0,90,85018
65,2272,290,51238,3647,113,35873,848,0,0,90,94371
