Version,JavaScript,Java,C++,C,C&C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Maven,Aggregate stats
5,55314,0,0,804,4994,21634,106,0,1015,2566,469,0,0,159,1147,195,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88441
6,56910,0,0,804,5230,22466,106,0,1057,2617,473,0,0,159,1146,195,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91201
7,60925,0,0,804,6014,24918,112,0,1034,3418,431,0,0,160,1150,201,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99205
8,65407,0,0,804,6089,25335,112,0,1034,3776,462,0,0,160,1155,201,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104573
9,67165,0,0,804,6302,26634,112,0,1034,3822,462,0,0,173,1155,201,17,21,161,108,0,0,0,0,0,0,0,0,0,0,0,0,0,108171
10,68047,0,0,808,6495,27721,107,0,1010,3744,461,0,0,222,1164,202,34,21,161,108,0,0,0,0,0,0,0,0,0,0,0,0,0,110305
11,75150,26639,3903,808,12356,28370,107,0,2124,4789,458,0,0,185,1060,390,181,23,161,416,575,38,10,14,90,0,0,0,0,0,0,0,0,157847
12,77652,27413,3944,1246,12699,29154,108,0,2336,4712,8452,0,0,890,1182,390,181,23,303,376,581,38,10,855,90,0,0,0,0,0,0,0,0,172635
13,80758,28897,4031,1246,12894,28990,107,0,2174,5265,8496,0,0,890,1182,390,181,23,303,379,546,98,10,855,90,0,0,0,0,0,0,0,0,177805
14,81710,28884,4116,1246,12917,29206,113,0,2068,5529,9212,0,0,890,1273,440,182,23,303,379,644,98,10,855,96,461,0,0,0,0,0,0,0,180655
15,82917,30319,4133,1246,13151,30277,113,0,1850,5613,9449,0,0,890,1289,440,182,23,303,379,650,98,10,855,96,485,0,0,0,0,0,0,0,184768
17,87337,36483,4466,1246,13556,31727,118,0,1958,6437,10142,0,0,886,1297,436,184,35,311,321,672,98,10,855,96,513,0,0,0,0,0,0,0,199184
18,89793,40148,4695,1287,13904,32841,118,0,1757,6495,10015,0,0,886,1416,522,344,83,311,307,730,105,10,855,96,513,0,0,0,0,0,0,0,207231
19,91531,42672,5107,1287,14204,33025,118,0,1761,6632,10065,0,0,886,1416,545,344,88,311,309,731,105,10,855,96,513,0,0,0,0,0,0,0,212611
20,95093,49592,5321,1287,14428,33583,118,0,1761,6833,7095,0,0,911,1451,546,344,108,311,324,733,105,10,875,96,513,0,0,0,0,0,0,0,221438
21,96785,49727,5396,1287,14589,33756,118,0,1761,6975,7095,0,0,870,1451,542,344,108,311,314,737,105,10,875,96,513,0,0,0,0,0,0,0,223765
22,94202,50979,5757,1287,16145,34901,118,0,1802,7256,595,0,0,870,1451,599,344,121,311,316,742,105,10,875,96,513,0,0,0,0,0,0,0,219395
23,96123,51852,5999,1287,16255,35637,118,0,1840,7314,599,0,0,870,1489,590,344,104,311,340,742,105,10,875,96,518,0,0,0,0,0,0,0,223418
24,99117,53730,6000,1319,16422,36773,122,0,1890,7427,600,0,0,870,1488,602,344,105,311,340,955,105,10,875,96,527,0,0,0,0,0,0,0,230028
25,99921,54516,6031,1335,16433,36866,123,0,1903,8048,603,0,0,870,1523,494,344,104,311,340,955,101,10,875,96,527,0,0,0,0,0,0,0,232329
26,97866,55764,8122,1335,17494,36026,123,0,1928,8160,601,0,0,870,1523,500,344,104,1185,340,966,101,10,875,108,527,0,0,0,0,0,0,0,234872
27,101986,57875,10031,1335,18648,36388,125,0,1452,8408,794,0,0,870,1628,569,344,104,1171,331,986,101,10,875,108,533,0,0,0,0,0,0,0,244672
28,99615,62905,10198,1742,19421,37115,125,0,1465,8438,807,0,0,880,1628,569,344,104,1317,445,997,111,10,875,108,533,0,0,0,0,0,0,0,249752
29,103141,64789,11025,1809,19981,38249,131,0,1466,8527,841,0,0,881,1727,592,344,105,1318,445,1004,111,10,875,108,533,0,0,0,0,0,0,0,258012
30,104301,66367,11044,1809,20039,38423,131,0,1504,8537,841,0,0,881,1729,592,344,105,1318,445,1004,111,10,875,108,533,0,0,0,0,0,0,0,261051
31,104818,66618,11318,2000,20539,37911,136,0,1468,8617,844,0,0,881,1729,555,344,105,1466,446,1005,116,10,875,108,533,0,0,0,0,0,0,0,262442
32,119008,66232,8802,2161,19625,38081,136,0,1523,8588,847,0,0,881,1729,536,344,105,1469,368,1007,116,10,875,108,533,0,0,0,0,0,0,0,273084
33,123005,67938,8810,2303,19704,38302,136,0,1583,8919,848,0,0,897,1735,536,344,105,1807,376,1040,116,10,875,108,533,0,0,0,0,0,0,0,280030
34,125527,69178,8913,2276,19872,37832,130,0,1627,8989,746,0,0,897,1895,544,344,105,2725,377,1042,116,10,875,108,533,0,0,0,0,0,0,0,284661
35,127787,69503,9080,2359,19838,37952,130,0,1627,9155,754,0,0,905,1964,544,348,106,2631,377,1042,116,10,875,198,533,0,0,0,0,0,0,0,287834
36,129114,70535,9143,2395,20015,38436,130,0,1781,9197,766,0,0,905,2047,601,348,106,2638,376,1043,116,10,875,198,533,0,0,0,0,0,0,0,291308
37,128444,71348,9239,2516,20196,38818,130,0,1781,9214,768,0,0,933,2047,569,348,108,2770,377,1050,116,10,875,198,533,0,0,0,0,0,0,0,292388
