Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
20,226,0,0,0,31,45,302
21,226,0,0,0,31,45,302
22,233,0,0,0,31,45,309
23,233,0,0,0,31,45,309
24,239,0,0,0,31,45,315
25,241,0,0,0,31,46,318
26,241,0,0,0,31,46,318
27,247,0,0,0,31,47,325
28,249,0,0,0,31,48,328
29,249,0,0,0,31,48,328
30,249,0,0,0,31,48,328
31,249,0,0,0,31,48,328
32,249,0,0,0,31,48,328
33,249,0,0,0,31,48,328
34,249,0,0,0,31,48,328
35,249,0,0,0,31,48,328
36,249,0,0,0,31,48,328
37,249,0,0,0,31,48,328
38,249,0,0,0,31,48,328
39,249,0,0,0,31,48,328
40,252,0,0,0,31,48,331
41,252,0,0,0,31,48,331
42,252,0,0,0,31,48,331
43,252,0,0,0,31,48,331
44,252,0,0,0,31,48,331
45,252,0,0,0,31,48,331
46,256,0,0,0,31,48,335
47,370,0,0,0,31,48,449
48,398,0,0,0,31,48,477
49,323,0,0,0,31,50,404
50,323,0,0,0,31,50,404
51,326,0,0,0,31,51,408
52,291,0,0,0,31,51,373
53,291,0,0,0,31,51,373
54,316,0,0,0,31,51,398
55,315,0,0,0,31,51,397
56,332,0,0,0,31,46,409
