Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
22,0,0,0,0,209,0,0,0,0,0,0
23,0,0,0,0,209,0,0,0,0,0,0
24,0,0,0,0,209,0,0,0,0,0,0
25,0,0,0,0,209,0,0,0,0,0,0
26,0,0,0,0,209,0,0,0,0,0,0
27,0,0,0,0,209,0,0,0,0,0,0
28,0,0,0,0,209,0,0,0,0,0,0
29,0,0,0,0,209,0,0,0,0,0,0
30,0,0,0,0,209,0,0,0,0,0,0
31,0,0,0,0,275,0,0,0,0,0,275
32,0,0,0,0,275,0,0,0,0,0,275
33,0,0,0,0,598,0,0,0,0,0,598
34,0,0,0,0,625,0,0,0,0,0,625
35,0,0,0,0,625,0,0,0,0,0,625
36,0,0,0,0,625,0,0,0,0,0,625
37,0,0,0,0,625,0,0,0,0,0,625
38,0,0,0,0,711,0,0,0,0,0,711
39,0,0,0,0,769,0,0,0,0,0,769
40,0,0,0,0,896,0,0,0,0,0,896
41,0,0,0,0,896,0,0,0,0,0,896
42,0,0,0,0,1090,0,0,0,0,0,1090
43,0,0,0,0,1090,0,0,0,0,0,1090
44,0,0,0,0,1287,0,0,0,0,0,1287
45,0,0,0,0,1287,0,0,0,0,0,1287
46,0,0,0,0,1287,0,0,0,0,0,1287
47,0,0,0,0,1490,0,0,0,0,0,1490
48,0,0,0,0,1581,0,0,0,0,0,1581
49,0,0,0,0,1707,0,0,0,0,0,1707
50,0,0,0,0,1752,0,0,0,0,0,1752
51,0,0,0,0,1752,0,0,0,0,0,1752
52,0,0,0,0,1813,0,0,0,0,0,1813
53,0,0,0,0,1813,0,0,0,0,0,1813
