Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,0,0,0,0,2092,1,2093
6,0,0,0,0,2141,1,2142
7,0,0,0,0,2934,1,2935
8,0,0,0,0,3185,1,3186
9,0,0,0,0,3231,1,3232
10,0,0,0,0,3153,1,3154
11,0,0,0,0,3879,1,3880
12,0,0,0,0,3944,1,3945
13,0,0,0,0,4414,1,4415
14,0,0,0,0,4731,1,4732
15,0,0,0,0,4790,1,4791
17,0,0,0,0,5514,1,5515
18,0,0,0,0,5519,1,5520
19,0,0,0,0,5673,1,5674
20,0,0,0,0,5834,1,5835
21,0,0,0,0,6003,1,6004
22,0,0,0,0,6094,1,6095
23,0,0,0,0,6145,1,6146
24,0,0,0,0,6158,1,6159
25,0,0,0,0,6749,1,6750
26,0,0,0,0,6825,1,6826
27,0,0,0,0,7069,1,7070
28,0,0,0,0,7089,1,7090
29,0,0,0,0,7213,1,7214
30,0,0,0,0,7223,1,7224
31,0,0,0,0,7303,1,7304
32,0,0,0,0,7274,1,7275
33,0,0,0,0,7282,1,7283
34,0,0,0,0,7325,1,7326
35,0,0,0,0,7491,1,7492
36,0,0,0,0,7548,1,7549
37,0,0,0,0,7566,1,7567
38,0,0,0,0,7743,1,7744
39,0,0,0,0,7766,1,7767
40,0,0,0,0,7892,1,7893
41,0,0,0,0,7944,1,7945
42,0,0,0,0,7611,1,7612
43,0,0,0,0,7638,1,7639
44,0,0,0,0,7528,1,7529
45,0,0,0,0,8501,1,8502
46,0,0,0,0,8908,1,8909
47,0,0,0,0,8923,1,8924
48,0,0,0,0,9026,1,9027
49,0,0,0,0,9096,1,9097
50,0,0,0,0,10117,1,10118
51,0,0,0,0,10408,1,10409
62,195,0,0,0,0,0,0
63,195,0,0,0,0,0,0
64,195,0,0,0,0,0,0
65,195,0,0,0,0,0,0
