Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,434,0,0,0,0,0,0,0,0,0,434
6,434,0,0,0,0,0,0,0,0,0,434
7,509,0,0,0,0,0,0,0,0,0,509
8,512,0,0,0,0,0,0,0,0,0,512
9,517,0,0,0,0,0,0,0,0,0,517
10,499,0,0,0,0,0,0,0,0,0,499
11,1125,69,0,149,0,213,0,259,0,164,1979
12,1184,78,0,149,0,213,0,259,0,164,2047
13,1237,78,0,149,0,256,0,259,0,164,2143
14,916,78,0,145,0,386,0,259,0,172,1956
15,3379,78,0,145,0,564,0,260,0,172,4598
17,3619,78,0,145,0,572,0,260,0,172,4846
18,4014,39,0,145,0,637,0,260,0,172,5267
19,4447,40,0,145,0,634,0,260,0,172,5698
20,4300,40,0,145,0,635,0,260,0,172,5552
21,4318,40,0,145,0,600,0,260,0,173,5536
22,4493,40,0,147,0,600,0,260,0,173,5713
23,4777,40,0,147,0,600,0,260,0,173,5997
24,4787,40,0,147,0,510,0,267,0,173,5924
25,4805,40,0,147,0,506,0,267,0,173,5938
26,4692,40,0,147,0,506,0,267,0,173,5825
27,8309,361,0,148,0,715,0,271,0,173,9977
28,8355,361,0,148,0,734,0,277,0,173,10048
29,8469,371,0,126,0,735,0,278,0,173,10152
30,8615,371,0,125,0,735,0,278,0,173,10297
31,8430,371,0,125,0,735,0,278,0,173,10112
32,8671,371,0,125,0,735,0,278,0,173,10353
33,11673,371,0,125,0,759,0,278,0,173,13379
34,12378,371,0,125,0,631,0,278,0,173,13956
35,12625,371,0,125,0,639,0,278,0,173,14211
36,12821,371,0,125,0,639,0,278,0,173,14407
37,12933,371,0,125,0,639,0,278,0,173,14519
38,12985,378,0,125,0,654,0,278,0,173,14593
39,13558,378,0,125,0,654,0,278,0,173,15166
40,34718,378,0,125,0,1581,0,295,0,173,37270
41,12631,378,0,125,0,1585,0,480,0,173,15372
42,13543,376,0,125,89,1625,0,481,0,173,16412
43,14050,376,0,125,89,1625,0,481,0,173,16919
44,12252,376,0,125,89,740,0,493,0,173,14248
45,12201,376,0,125,89,748,0,493,0,173,14205
46,11801,376,0,125,89,748,0,496,0,174,13809
47,11967,368,0,125,89,767,0,496,0,174,13986
48,11544,368,0,125,89,770,0,496,0,174,13566
49,12426,373,0,125,89,774,0,496,0,174,14457
50,13270,373,0,125,89,794,0,496,0,174,15321
51,12974,373,0,125,89,794,0,496,0,174,15025
52,12907,373,0,125,89,790,0,496,0,174,14954
53,12919,373,0,125,89,790,0,496,0,174,14966
54,13617,373,0,125,89,790,0,490,0,174,15658
55,13126,373,0,119,89,784,0,490,0,172,15153
56,13849,373,0,119,89,761,0,490,0,172,15853
57,14057,373,0,123,89,755,0,518,0,180,16095
58,13514,422,0,119,48,803,0,519,0,180,15605
59,18,0,0,0,0,0,0,0,0,0,0
60,18,0,0,0,0,0,0,0,0,0,0
61,18,0,0,0,0,0,0,0,0,0,0
62,18,0,0,0,0,0,0,0,0,0,0
63,18,0,0,0,0,0,0,0,0,0,0
64,18,0,0,0,0,0,0,0,0,0,0
65,18,0,0,0,0,0,0,0,0,0,0
