Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,9373,0,0,0,138,200,0,0,104,36,9851
6,9457,0,0,0,138,200,0,0,104,36,9935
7,12036,0,0,0,138,201,0,0,104,36,12515
8,12202,0,0,0,138,203,0,0,104,36,12683
9,12227,0,0,0,138,216,0,0,104,36,12721
10,12753,0,0,0,138,265,0,0,104,53,13313
11,14974,0,0,0,138,218,0,0,0,36,15366
12,15510,0,0,0,138,211,0,0,0,36,15895
13,16014,0,0,0,148,214,0,0,0,36,16412
14,15649,0,0,0,148,214,0,0,0,79,16090
15,15141,0,0,0,148,36,0,0,0,79,15404
17,16719,0,0,0,148,36,0,0,0,77,16980
18,17066,0,0,0,151,36,0,0,0,85,17338
19,17316,0,0,0,151,36,0,0,0,107,17610
20,18751,0,0,0,151,40,0,0,0,107,19049
21,17230,0,0,0,151,40,0,0,0,107,17528
22,10110,0,0,0,151,40,0,0,0,107,10408
23,8812,0,0,0,151,40,0,0,0,107,9110
24,8896,0,0,0,151,40,0,0,0,107,9194
25,8076,0,0,0,151,40,0,0,0,107,8374
26,8202,0,0,0,151,52,0,0,0,108,8513
27,8301,0,0,0,151,52,0,0,0,108,8612
28,8582,0,0,0,151,52,0,0,0,108,8893
29,8609,0,0,0,149,52,0,0,0,117,8927
30,8622,0,0,0,149,52,0,0,0,117,8940
31,8675,0,0,0,149,52,0,0,0,120,8996
32,20745,0,0,0,149,52,0,0,0,120,21066
33,20992,0,0,0,149,52,0,0,0,120,21313
34,21144,0,0,0,149,52,0,0,0,128,21473
35,22218,0,0,0,149,52,0,0,0,128,22547
36,22834,0,0,0,149,52,0,0,0,131,23166
37,22266,0,0,0,149,53,0,0,0,131,22599
38,22271,0,0,0,149,53,0,0,0,131,22604
39,23096,0,0,0,149,26,0,0,0,131,23402
40,23016,0,0,0,153,26,0,0,0,131,23326
41,23720,0,0,0,153,27,0,0,0,131,24031
42,24828,0,0,0,155,28,0,0,0,131,25142
43,25294,0,0,0,155,65,0,0,0,131,25645
44,25634,0,0,0,155,65,0,0,0,131,25985
45,27035,0,0,0,311,92,0,0,0,138,27576
