Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,148,0,0,0,0,12,160
6,157,0,0,0,0,12,169
7,157,0,0,0,8,12,177
8,157,0,0,0,8,12,177
9,157,0,0,0,8,12,177
10,146,0,0,0,8,12,166
11,146,0,0,0,104,15,265
12,183,0,0,0,109,15,307
13,212,0,0,0,101,15,328
14,240,0,0,0,101,20,361
15,241,0,0,0,120,20,381
17,241,0,0,0,120,25,386
18,241,0,0,0,120,25,386
19,245,0,0,0,120,25,390
20,245,0,0,0,120,25,390
21,245,0,0,0,120,25,390
22,245,0,0,0,120,25,390
23,270,0,0,0,120,26,416
24,270,0,0,0,120,26,416
25,270,0,0,0,120,26,416
26,270,0,0,0,122,26,418
27,270,0,0,0,122,26,418
28,270,0,0,0,122,26,418
29,270,0,0,0,122,26,418
30,270,0,0,0,122,26,418
31,270,0,0,0,122,26,418
32,270,0,0,0,122,26,418
33,271,0,0,0,122,26,419
34,271,0,0,0,122,26,419
35,271,0,0,0,122,26,419
36,271,0,0,0,122,26,419
37,317,0,0,0,122,26,465
38,317,0,0,0,122,26,465
39,336,0,0,0,122,26,484
40,328,0,0,0,122,26,476
41,329,0,0,0,122,26,477
42,332,0,0,0,122,26,480
43,332,0,0,0,122,26,480
44,332,0,0,0,122,26,480
45,332,0,0,0,122,26,480
46,335,0,0,0,122,26,483
47,335,0,0,0,122,26,483
48,335,0,0,0,122,26,483
49,335,0,0,0,122,26,483
50,335,0,0,0,122,26,483
51,335,0,0,0,122,26,483
52,335,0,0,0,122,26,483
53,335,0,0,0,122,26,483
54,335,0,0,0,122,26,483
55,333,0,0,0,122,26,481
56,342,0,0,0,122,26,490
57,342,0,0,0,122,26,490
58,346,0,0,0,126,26,498
