Version,JavaScript,Java,C++,C,C&C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Maven,Aggregate stats
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
22,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
23,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
24,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523
25,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729
26,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802
27,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929
28,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930
29,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043
30,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043
31,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038
32,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038
33,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038
34,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038
35,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056
36,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112
37,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066
38,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064
39,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085
40,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085
41,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302
42,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367
43,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361
44,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410
45,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
46,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1655
47,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1656
48,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1701
49,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1773
50,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1801
51,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1875
52,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1875
53,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1876
54,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1870
55,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,16,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1906
56,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,16,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2138
57,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2258
58,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,17,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2662
59,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455,17,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2687
60,1397,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1497,19,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2992
61,1046,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1461,19,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2605
62,1141,0,0,0,0,0,101,0,0,0,0,0,0,0,0,1459,19,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2744
63,1207,0,0,0,0,0,99,0,0,0,0,0,0,0,0,1392,19,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2741
64,1307,0,0,0,0,0,232,0,0,0,0,0,0,0,0,1564,19,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3134
65,1497,0,0,0,0,0,212,0,0,0,0,0,0,0,0,1589,19,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3329
