Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,5336,0,0,0,36,1116,6488
6,5338,0,0,0,36,1115,6489
7,5339,0,0,0,36,1119,6494
8,5366,0,0,0,36,1124,6526
9,5392,0,0,0,36,1124,6552
10,5431,0,0,0,36,1131,6598
11,5596,0,0,0,36,1167,6799
12,5898,0,0,0,36,1209,7143
13,5924,0,0,0,36,1209,7169
14,6059,0,0,0,36,1300,7395
15,6137,0,0,0,36,1316,7489
17,6277,0,0,0,36,1324,7637
18,6597,0,0,0,24,1384,8005
19,6641,0,0,0,24,1384,8049
20,6797,0,0,0,24,1419,8240
21,6819,0,0,0,24,1419,8262
22,7262,0,0,0,24,1418,8704
23,7342,0,0,0,24,1456,8822
24,7410,0,0,0,24,1455,8889
25,7598,0,0,0,24,1490,9112
26,7753,0,0,0,24,1490,9267
27,7885,0,0,0,24,1595,9504
28,7945,0,0,0,34,1595,9574
29,7515,0,0,0,34,1728,9277
30,7544,0,0,0,34,1730,9308
31,7591,0,0,0,34,1730,9355
32,7611,0,0,0,34,1730,9375
33,7621,0,0,0,34,1736,9391
34,7876,0,0,0,34,1896,9806
35,8155,0,0,0,34,1969,10158
36,8441,0,0,0,34,2052,10527
37,8452,0,0,0,34,2052,10538
38,8602,0,0,0,34,2092,10728
39,8664,0,0,0,34,2092,10790
40,8664,0,0,0,34,2092,10790
41,8691,0,0,0,34,2092,10817
42,8311,0,0,0,34,4966,13311
43,8310,0,0,0,34,5163,13507
44,8362,0,0,0,34,2341,10737
45,8730,0,0,0,34,2547,11311
46,9180,0,0,0,34,2569,11783
47,9194,0,0,0,31,2592,11817
48,9291,0,0,0,31,2588,11910
49,9292,0,0,0,31,2621,11944
50,9153,0,0,0,31,2623,11807
51,9150,0,0,0,31,2623,11804
